stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,101.58,2281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,0,0,0,0
  5-6,35.42,753.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.38,0,0,0,15.86,0,0,0,0,0,0,0
  7-9,3.81,16.74,0,4.04,0,0,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,166.59,0,0,55.12,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.13,0,0,11.04,0,5.95,3.29,0,0,0,0,0
 14-21,0,0,0,0,1.9,0,0,0,0,0,1.28,0,0,0,0,0,1.15,0,0,0.92,2.21,0,0,0,0,0,0,0.97,0.82,0,0,0
 24-34,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.85,0,1.45,0,1.05,0,0,0
 36-46,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,1.19,0,0.57,0.59,6.09,0,0,0,4.85,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,1.25,0,0,0.4,0,0,0,0,0,0.61,0
 60-70,0,0,0,0,0,0,0,2.33,0,0,1.49,0,0,0,0,0,0,11.08,0,0,3.87,0,0,0,9.07,0,0,0,0,0,0,0
 72-82,0,0,0.62,0,0,0,13.75,0,0,0,2.22,0.68,0,0,0,0,2.69,0.56,3.02,0,9.17,0.7,0,0,7.51,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.04,7.34,2.41,0,0,0.58,3.03,0,0,0,1.84,0,0,0,0,6.97,0,1.48,0,14.8,0,0,0,0,0,0,2.54
 96-106,0,0,0,0,4.9,0,21.43,2.38,2.29,0,2.39,1.81,4.48,0,0,0,0.7,0,1.53,0,9.34,0,1.11,0,44.15,0.7,0,0,0,0,5.7,1.69
108-118,0,0,0,0,3.14,0,19.95,0.78,0,0.6,4.83,3.88,0,0,0.51,0,1.55,3.06,1.05,0.43,4.68,0,0,0,41.1,0,0,0,3.64,1.46,2.33,7.72
120,0,0,0,0,9.3,0,0,1.8,0,0,9.3,16.7,0,1.74,0,0,0,0,0,0,4.32,0,1.43,0,106.29,0,0,0,0,0,13.06,0
