stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,86.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,6.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,0,0,0,0,0,3.8,0,11.63,0,0,0,0,0
 14-21,0,0,9.12,2.53,0,0,1.16,0,0,0,5.48,0,0,0,0,0,24.2,0,10.65,14.68,0,0,0,0,0,0,15.37,5.93,0.82,0,0,0,0
 24-34,0,0,0,1.29,0.87,2.15,0,0,0,0,7.27,0,0.63,0,0,1.63,14.43,0,11.81,16.31,0.67,0,0,0,1.72,0,23.4,27.8,9.3,0,4.76,0,0
 36-46,0,0,1.3,0,0.64,3.58,0,0.82,0,0,7.25,13.72,0,0,0,0,16.89,0,8.53,18.26,0,0,0,0,0,2.25,12.34,2.42,3.86,0,4.31,0,0
 48-58,0,0,0,0,1.52,10.2,0,0,1.41,0,1.01,0.37,0,0,0.77,0,25.32,0,0.43,48.19,0,0.45,0,0,0,0,8.92,0,3.56,0.37,4.3,0,0
 60-70,0,0,0,1.05,4.61,14.6,0,9.26,4.58,0,1.19,0.98,0,0,0,0,15.25,0.93,6.16,58.85,0,0,0,2.16,0,0,1.46,0,2.12,2.97,6.3,0,0
 72-82,0,0,0,0,60.44,3.21,0,1.39,1.53,0,0,0,0,0,0,0,25.55,0,1.05,106.54,0,1.12,0,0,0,0,1.05,0,2.99,2.46,0,0.71,0
 84-94,0,0,1.52,0,29.4,18.3,0,0,1.59,0,0,2.86,0,0,0,0,35.13,0,3.05,60.13,0,2.75,0,0,0.73,0,0.57,0,0,2,0.61,1.25,0
 96-106,0,0,2.4,0,95.59,6.56,0,5.63,3.1,2.11,0.71,13.81,0,1.98,0,0,21.13,1.37,2.34,63.83,0,0,0,0,0,0,1.85,0,0,0.78,1.22,4.09,6.64
108-118,0,0,0.51,0,141.59,11.21,0,0,5.23,0,3.67,3.72,0,0,2.27,0,26.71,0,3.12,116.6,0,0,0,4.21,0.62,0,2.49,0,5.75,1.19,10.25,0,0
120,0,0,0,0,107.45,16.69,0,0,1.61,0,0,6.96,0,0,0,0,28.37,0,7.74,228.05,0,0,0,11,0,0,7.38,0,0,25.01,0,0,0
