stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,67.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.71,0,1.04,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.86,2.44,0,0,0,0,1.16,0,1,3.25,0,0,0,0
 24-34,0,0,0.75,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,49.48,0,0,0,0,0,0,0,0,10.45,0,0,0,0
 36-46,0,0,0,0,0,0,14.72,0,0.79,6.57,0,0,0,0,0,0,0.65,0,0,0,154.46,2.73,0,0,0,0,0,0.74,0,10.47,0,0,0,8.51
 48-58,0,0,0,0,4.32,0,62.36,0,0.56,9.18,0,0,0,0,0,0,2.22,0,0.63,0.38,399.53,0,0,1.29,0,2.76,0,0.43,0,9.76,0,0,0,2.27
 60-70,0,0,0,0,1,0,470.42,0,0,28.47,0,0,0,0,2.21,6.57,14.67,0,0,0,642.3,0,0,0,3.6,0,0,0,0,18.91,0,0,0.59,0
 72-82,0,0,0,0,9.33,0,857.58,0.7,0.55,18.75,0,0,0,0,0.72,0,19.62,0,0,0,687.62,0,4.44,4.22,0,1.72,0,0,0,21.24,0.91,3.48,0,5.22
 84-94,0,0,2.66,0,1.93,3.82,774.17,0.82,3.93,17.68,0,0,0.83,0.86,0.8,0,17.52,0,0,1.11,510.35,1.73,2.26,11.08,0,0,0,0,0,8.17,0.71,0,0,0
 96-106,0,0,1.04,0,11.37,6.68,468.9,1.33,0,26.86,0,2.73,4,0.91,0.58,9.62,9.78,1.61,0,0,459.87,0,1.84,3.81,0,0,0,0,0,7.23,0,2.26,0,1.79
108-118,0,0,0,0,13.07,0,313.3,0.48,0,29.29,0.9,0,0.45,1.71,0,0,27.13,0,0,1.15,592.09,0,3.02,0,0.96,1.55,0,0,0,4.07,0.89,5.76,1.17,1.34
120,0,0,0,0,4.64,0,428.4,0,0,126.36,0,0,0,0,0,1.07,8.77,0,2.08,0,872.15,2.47,0,0,0,0,0,0,0,25.47,0,13.21,0,0
