stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.47,0,0,0,6.12,0,0,2,0,0,1.64,0.89,0,0
 24-34,0,0.79,0,0.67,1.04,1.43,0.77,0,0,1.52,0,0,1.72,13.71,0,0,0,0,0,0,1.73,0,0
 36-46,0,0,0,5.35,0,2.37,0,0,0,0.9,0,0,0,22.65,0.69,0,0,0,0,0,4.46,0,0
 48-58,0,0,0,8.6,0,1.45,0,0.74,0,5.48,0.53,0,0,11.87,0,0,0,0,0,0,0,0,4.26
 60-70,0,5.97,0,7.93,0.97,0,0,0,0,4.47,0,1.82,0,6.75,0,0.89,0,0,0,0,1.43,0,0
 72-82,0,0,0,2.75,0,0.58,0,0,0,0.58,0,0,0.6,3.47,0,0,0,0,2.48,0,0,0,0
 84-94,0,0,0,3.16,0,3.23,0,0,0,9.28,0,0,0,2.6,0,0,0,0,0,0,1.35,0,0
 96-106,0,2.32,0,0.85,0,0,0,0,0,1.71,0,0,1.16,0.92,0,0,0,0,0,0,0,0,0
108-118,0,3.52,0,0,0,0.96,0.6,0,0,5.93,0,0,0,10.58,0,0,0,0,0,0,0,1.22,0
120,0,0,2.16,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
