stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,12.11,0,0,11.2,0,0,0,5.73,1.65,0,0
 24-34,0,0,0,0.6,0,0,0.68,0,2,0,0,0,0,0,0,0,34.02,0,1.06,59.39,0,0,0,11.63,3.25,0,0
 36-46,0,0,0,0,0,0,0,0,2.57,0,0,0.57,1.55,0,0,0,9.88,0,0,75.61,0,0,0,11.31,2.36,0,0
 48-58,0,0,0.54,0,0.43,0,4.43,0.4,1.87,7.83,0,0.51,0,2.62,0,0,33.58,0,0,61.47,0,0,0.4,2.59,0.6,0,0
 60-70,0,0,0,0,0,0,0.6,0,8.8,0,0,0,0,0.84,0,0,36.02,0,3.33,81.21,0,0,1.12,0.72,2.57,0,0
 72-82,0,0,0,0,0,0,9.15,0,4.56,0,0,0,0,9.46,0,0,48.58,0,0,127.21,1.43,0,0,3.59,0,0,6.88
 84-94,0,0,0,0,0,0,9.39,0,1.85,0,0,0,0,0.67,0,0,30.54,0,3.11,142.7,0,0,0,2.14,0,0,0
 96-106,0,0,0,0,3.57,0,4.42,0,8.12,0,0,2.54,7.59,1.75,0.71,0,24.53,0,0,164.47,0,0.66,0.58,0,7.23,0.98,0
108-118,0,0,0,0,0.79,1.66,8.89,0,3.7,0,0,1.48,0,0,0,0.54,40.72,0.43,1.05,186.91,7.8,0,0,0,0,0,0
120,2.23,0,0,0,4.68,0,0,0,2.77,0,6.79,2.98,0,10.25,0,0,63.39,0,0,147.51,0,0,0,10.98,0,0,0
