stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,12.8,127.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0
  5-6,69.32,371.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.15,16.8,0,0,14.67,0,0,0,0,0,0,0,0,0
  7-9,133.79,22.14,0,8.17,0,0,24.31,0,0,0,8.08,0,0,0,0,0,0,491.13,225.33,0,0,1052.05,0,7.76,0,0,0,0,0,0,0
 10-12,0,3.64,0,61.36,0,6.14,32.77,0,0,0,3.85,0,0,0,0,0,0,397.7,190.18,0,0,1107.58,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.87,7.96,1.76,0,46.93,0,0,0,4.73,0,6.74,0,4.93,128.8,28.84,1.67,9.58,90.47,0,0.9,60.41,0,0,4.98,198.69,0,0
 24-34,0,0,0,0,0,0,0.78,1.67,24.81,0,0,0,1.53,0,6.33,0,0.91,127.92,1.44,1.41,2.24,0,0.64,0,1.1,3.24,0.88,3.32,243.69,4.87,0
 36-46,0,0,0,0,2.18,0,6.94,0.84,28.35,0,0,0,0,0,4.65,0,2.88,135.48,1.29,4.8,6.35,0,0,0.73,0,5.91,0.62,0,208.47,3.26,0
 48-58,0,0,0,0,0,0,13.97,0,69.24,0,0,0.89,0,0,4.38,0,2.69,168.9,0,3.77,8.9,0,0,0,0,0,0,0,141.84,0,0.94
 60-70,0,0,0,0,3.53,0,22.7,0.76,47.42,0,0,0.6,0,0,2.51,0,1.62,126.35,0,4.69,6.73,0,0,0,0,0,0,0,55.96,0,0
 72-82,0,0,0.49,0,0,0,33.58,0.59,37.87,0,0,0,0,0,5.96,0,0.76,184.44,0,11.96,30.43,0,0,0,0,0.84,0,0,55.28,4.06,0
 84-94,0,0,3.91,0,0.67,0,50.06,0,34.47,0.98,0,2.74,2.62,0,6.67,0,0,143.84,0,33.02,24.97,0,0,0,0,0.75,0,0,63.09,0,0
 96-106,0,0,0,0,0,0,9.49,0,45.99,0,0,0.58,0.69,0.58,9.24,0,0.83,106.28,0,16.06,41.73,0,1.25,0,0,0,0,0,11.88,0,0
108-118,0,0,0,0,3.95,0,36.76,0,32.06,0.63,0,1.15,0.7,0,3.36,0.61,0.63,218.75,4.4,22.59,41.39,0,0,0,0,0,0.69,0,31.07,0,0
120,0,0,0,0,4.24,0,19.34,0,70.33,0,0,4.13,1.08,0,1.49,0,0,158.39,0,28.05,47.39,0,0,0,0,1.97,0,0,20.36,0,0
