stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,ionocyte,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.43,5.09,0,0
 14-21,0,1.94,0,0,0,0,0,0,0,5.17,1.02,0,16.7,0.85,0
 24-34,0.95,0,0,0.64,0,0,0,0,0,9.44,1.31,0,1.15,7.59,0
 36-46,2.44,0,0,1.86,0,0,0,0,1.51,12.93,0,0,0.91,3.39,0
 48-58,0,0,0,7.22,0,8.5,0,0.64,1.67,36.05,0,0,0,4.89,0
 60-70,0,0,0,4.47,0,0,0,0,0,16.97,0,0,0,0,0
 72-82,0,0,0,10.15,0,0,0,0,5.91,34.53,0,0,0,3.46,0.63
 84-94,0,0,0,14.15,0,0,0,0,0,12.96,0,0,0,1.23,0
 96-106,0,0,1.52,0,0,0,1.79,0,2.02,10.06,1.13,0,0,0,0
108-118,0,0,0,4.23,0.58,0,0,0,0,8.21,0,0,0,0,0
120,2.12,0,0,0,0,0,0,0,0,15.03,8.23,0,1.18,0,0
