stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.66,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,26.97,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,19.37,0,0,13.38,0,0,0,0,0,0,0,0,1.25,0,2.84,0,0,6.89,60.71,21.71,0,2.36,3.96,0,0,0.84,5.12,6.27,0,0,0,0,0
 24-34,0,0,23.31,0,0,12.95,0,0.72,6.44,0,0,1.04,0,1.21,1.67,0,45.95,0.63,2.43,49.38,54.72,4.55,6.76,18.97,0,0,0,0,4.84,15.12,0,0,0,0,0
 36-46,0,0,2.66,0,0,0,2.6,12.27,6.11,0,0,0,0,0,6.69,0,180.43,0,13.85,51.53,54.86,1.45,9.11,11.2,0,1.94,0,0,0,4.55,0,0,0,0,0
 48-58,0,0,1.68,0,0,10.14,0.65,11.68,4.45,0,0,0,0,0,4.65,0,286.21,0,21.02,87.58,102.06,3.66,6.31,20.47,0,0,0.68,0,0,19.77,0,1.41,0.5,0,0
 60-70,0,0,5,1.83,0,9.47,0,7.21,3.72,0,0,0.79,0,0,7.99,1.2,316.74,0,39.32,57.48,34.31,2.62,4.71,13.93,0,0,0,2.94,0,5.4,0,4.71,2.96,4.65,0
 72-82,0,0,6.27,0.52,0,27.4,0,3.9,9.09,0,0,0,0,0.93,7.55,0,328.82,0,23.06,77.5,52.76,0,12.39,23.73,0,0,0,0,0,0.75,0,2.05,0.58,3.22,0.63
 84-94,0,0,0.88,0,0,28.07,0,8.86,13.71,0,0,1.14,0,0,11.37,0,302.06,0,8.03,73.19,59.68,0.62,26.5,31.21,0,1.53,0,0,0,9.83,0,3.69,0,6.6,0
 96-106,0,0,2.12,6.11,0,10.75,0,3.29,17.67,0,0,0,1.5,4.05,7.66,0,199.84,0,6.47,54.19,45.93,0.58,25.17,32.75,0,1.36,1.46,0,0,2,0,3.44,1.81,4.16,0
108-118,0,0,7.42,0,1.04,18.39,0.46,0,27.09,0,0,0,1.42,2.08,4.16,0,294.19,0,5.83,43.3,70.22,0,19.07,26.24,0,0,0.92,0,0,0,1.43,2.96,0,2.72,0
120,1.12,0,8.57,4.98,1.91,16.35,0,0,26.32,8.64,0,0,0,0,0,7.54,265.2,0,5.59,51.62,66.26,0,8.91,43.56,0,0,0,0,0,0,0,0,0,1.05,0
