stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,17.61,219.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.33,419.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.64,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.63,6.32,0,0,42.45,0,0,0,10.98,0,0,0,0,0,0,0,347.78,26.21,0,0,69.82,0,0,0,0,0,0,0
 10-12,0,20.38,63.06,0,9.56,29.85,0,0,0,6.83,0,0,0,0,0,0,0,671.03,44.68,0,0,129.27,7.59,18.44,0,0,12.45,0,0
 14-21,0,0,3.85,13.4,4.23,7.07,0,1.98,2.69,0,0,0,0,6.66,0,0,4.05,100.6,18.85,0,0.88,2.26,4.97,0,16.66,2.76,9.31,33.09,0
 24-34,0,0,0,0.6,0.89,2.79,0,2.29,0,0,0,0,0,15.21,1.42,0,4.36,93.62,0.64,0,0.75,0,4.11,0,1.03,0,2.34,24.36,0.89
 36-46,0,0,0,0,0,1.06,0,0,0,0,0,0,0,2.66,0,0,2.72,19.94,0,0,0,0,0,0,0,0,0,5.02,0
 48-58,0,0,0,0.38,0,6.27,0,1.06,0,0,0,0,0.47,2.57,0,0,0.38,28.22,0,0,0,0,3.87,0,0,0,0,3.65,0
 60-70,0,0,0,0,0.59,11.12,0,0,0,0,0,0,0,2.36,0,0,0,15.31,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.08,0,3.05,0,0,0,0,0,6.55,0,0.88,0,16.48,0,0,0,0,0,0,0,0,0,0.93,0
 84-94,0,0,0,0.66,0,15.22,1.05,0,0,0,0,0,0,9.1,0,0,0,10.47,0,0,0.92,0,0.64,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,21.9,0,0,0.59,0,0.66,0.57,0,1.77,0,0,0,19.12,0,2,0.64,0,0,0,0,0,0,0,0
108-118,0,0,0,0.6,0,14.28,0,5.23,0,0,0,0,0.51,7.14,0,0,0,23.46,0,0,0,0,0,0,0,0,0,0.98,2.19
120,0,0,0,0,0,29.52,0,0,0,0,0,0,0,8.98,0,0,0,15.69,0,0,0,0,0,0,0,0,0,2.54,0
