stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,108.58,1134.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.95,0,0,0,0,0,0,0,0
  5-6,6.56,539.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.73,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,78.42,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,4.04,4.13,4.14,0,0,0.93,0.85,2.12,0,0,0.87,0,8.32,0,0,1.96,38.8,0,0,0.96,0,0,0,0,5.31,0.81,3.37,16.01,1.89,0,0
 24-34,0,0,0,0,0.63,0.81,7.28,0,0,0,0,0,0,0,0,0,12.5,0,0,9.02,56.38,0,0.85,0,0,0,4.95,0,0,0,2.15,13.46,0.95,0,0
 36-46,0,0,0,0,13.66,1.25,9.25,0,0.75,2.3,0,0,0,0,0,0,5.84,0,0,3.31,46.58,0,0.86,0,0,0,1.37,0,0,0,0,11.15,0,0,0
 48-58,0,0,0,0,1.1,0,5.88,0,0,1.37,0,0,0,0,0,0,3.47,0,0.47,0,42.71,0,0,0,0,0,0.42,0,0,0,0,4.39,1.14,0,0.59
 60-70,0,0,0,0,0,0,7.48,0,0,2.36,0.63,0,0.78,0,0,0,7.43,0,0,0.83,21.78,0,0.89,0,0,0,0,0,0,0,0,2.56,0,0,0
 72-82,0,0,0,0,0,0.75,10.59,0,0.88,6.93,0,0,0,0,0,0,14.09,0,0,0.83,20.62,0.56,0,0,0,0,0,0,0,0,0,2.5,1.08,0.79,0
 84-94,0,0,0,0,0.79,0.79,8.72,0,1.68,2.22,1.3,0,0,0.68,0,0,8.35,2.54,0,0,16.31,0,0,3.8,0,1.59,5.61,0,0,0.81,0,0,1.47,0,0
 96-106,0,0,0,0,6.47,0,12.36,0,0,2.71,0,0,1.18,0,0,0,4.2,0,0,3.56,7.14,1.43,6.99,0,0,0,2.26,0,0,0,0,0,0,0,0
108-118,0,0,1.27,0,2.36,0,3.55,0.47,0,8.19,0,0,1.17,0,0,0,11.81,0.49,0,3.73,13.23,0,0.57,1.75,0,0,6.66,0,0,0,0,0,0,0,0
120,0,0,0,0,7.77,0,8.46,0,1.66,9.25,0,0,0,0,0,4.1,11.98,0,0,1.91,17.23,0,13.95,6.78,0,0,0,1.53,0,0,0,0,0,0,0
