stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,presomitic_mesoderm,spinal_cord,vasculature
  3-4,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.71,10.25,0,0,0
 14-21,0,0.96,2.65,1.23,0,1.34,0,0,0,0,2.23,7.44,0,1.21,1.75,0
 24-34,0,0,0,0,0.59,0,0,0,0,0,1.34,9.64,0,0,2.32,0
 36-46,0,0,0,0,0.6,0,0,0,1.6,0,0,5.18,0,0,6.09,0.62
 48-58,0,0,0,0,2.12,0,0,0,1.24,0,0,6.41,0,0,10.06,0
 60-70,0,0,0,0,0,0,0,0,0.64,0,0,1.13,0,0,0,0
 72-82,0,0,0,0,1.22,0.57,0,0,0.66,0.52,0,0,0,0,0,0
 96-106,0,0,0,0,3.84,1.42,3.67,0,0,0,0,2.07,0,0,1.73,0
108-118,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0
120,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0
