stage,endoderm,epidermis,eye,glial,lateral_line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,taste
 10-12,0,0,0,0,0,0,0,0,0,0,8.48,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0
 24-34,1.03,0,0,0,0,1.57,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,9.74,0,0,0.59,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0
 72-82,0,0,0.56,0,0.49,0,0,0,0,3.52,0,0,0,0
 84-94,0,0,0,2.31,3.57,0,0.69,0,0,6.31,0,0,0,0
 96-106,0,0.76,0,0,7.39,0,5.97,4.92,0.59,4.13,0,0,0,1.34
108-118,0,0.54,0,0,3.77,0,0,0.72,0,10.08,0,0,0,1.68
120,0,0,0,0,2.63,0,0,0,0,4.36,0,2.14,0,0
