stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,60.71,0,0,0,0,0,0
 14-21,0,0,1.05,8.43,1.19,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0.82,0,5.54,20.85,0,0,8.31,0
 24-34,0,0.82,2,3.21,1.06,0,0,0,0.92,5.2,0,0.84,0,3.21,10.58,0,0,0.61,0,0,5.26,2.05,0,0,65.13,0
 36-46,0,0,0,0.69,0,0,0,0.66,0,0,1.74,0,0,0,6.06,1.21,0,0,0,0,7.94,0,1.78,0,35.39,0
 48-58,0,1.29,0,0,0.52,3.09,0,0,2.09,0,0,0,0,5.02,12.03,0,0,0.59,0,0,3.11,0,4.52,0,55.1,0
 60-70,0,0,0,0,1,25.12,0.85,4.74,0,0,0,2.34,1.04,11.63,6.2,1.29,0,0,0,0,2.2,0,0,0,23.38,2.21
 72-82,0,0,0,0,10.6,11.16,0.56,0.63,0,0,0,1.94,0,9.39,1.62,1.38,0,0.72,0,0,0,0,0,0,45.62,11.57
 84-94,0,0,0,0,15.3,11.53,5.44,0.66,0,0,0,0.63,0,5.36,0,1.28,5.27,0,0,0,0.55,0,2.04,0.69,39.8,3.18
 96-106,0,0,0,1.36,12.44,8.54,0,1.04,0.69,0,0,0,1.06,3.13,1.04,4.83,1.47,0,0,0,1.27,0,3.48,1.2,20.93,11.38
108-118,0,0,0,0,9.98,9.91,0,0.49,0,0,0,1.15,0,1.71,2.62,0,4.83,0,0,0,1.49,0,0,0,19.16,4.48
120,0,0,1.14,0,23.57,12.21,14.58,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,52.02,0
