stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.56,581.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.33,237.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,14.04,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,48.73,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.48,15.12,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.35,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.56,3084.69,1.88,67.83,0,194.75,0,42.32,14.53,0,17.19,0,12.31,0,1.57,0,0,33.95,19.19,0,9.78,598.32,5.42,37.01,135.48,9,0,7.23,0.9,1.18,0,1,0.97,330.67,0,0,0.85,0,1.19
 24-34,0,0,6.75,2861.51,2.98,48.02,1.97,788.8,0.62,205.85,6.75,0.76,18.48,0,10.09,0,12.56,3.67,2.21,68.12,29.14,0,19.18,796.52,0.7,60.5,74.61,0,1.14,3.24,0,3.08,13.32,26.25,5.29,508.71,0,0,23.22,0,8.32
 36-46,0,0,1.39,773.11,0.71,24.69,20.33,367.69,15.35,161.1,1.97,0,7.3,21.28,0,1.23,8.85,1.4,4.03,60.57,14.8,0.93,3.4,696.17,5.73,12.66,67.44,0,0,1.46,0,0,13.97,7.85,0,292.91,0,0,14.62,0,0
 48-58,0,0,0,256.91,2.7,46.68,6,211.65,0,99.88,28.59,0,8.04,0.39,0,0,4.55,6.48,0,98.21,3.68,0.52,5.73,775.86,0,7.73,39.94,0,0,6.09,0,0,9.51,17,0,159.56,0,0.42,16.01,0,0
 60-70,0,0,0,123.5,0,184.15,11.85,138.08,4.19,67.84,40.82,0,0,0,1.64,1.38,3.63,3.59,0,235.14,0,0.93,1.41,1007.22,0,14.19,13.89,0,0,3.25,0,0,7.34,3.92,0,152.03,0,16.32,1.83,8.81,8.04
 72-82,0,0,0,62.59,0,379.68,6.55,44.1,2.02,110.67,58.29,0,1.57,0,4.79,3.96,1.78,0,0,198.88,0,2.92,7.74,839.98,0,16.27,25.8,0,0.89,0,0,0,8.53,3.03,0,59.32,1.21,11.52,6.19,24.21,0
 84-94,0,0,1.37,90.74,0,275.03,11.06,42.49,0,123.34,100.35,0,0,2.98,3.17,0,7.17,1.13,0,207.67,0.59,8.78,6.14,551.85,0,14.23,18.33,0,1.75,2.39,0,0,22.93,0,0,54.29,0.9,2.39,8.78,35.46,2.1
 96-106,0,0,0,65.21,0,265.27,12.23,34.99,0,109.64,33.3,0,3.87,0.68,0.85,0.81,1.11,0,0,172.15,2.24,2,3.45,433.95,0,33.35,8.77,0,3.53,0,2.7,0,9.22,0,0,24.84,0,6.24,6.71,43.01,0
108-118,0,0,3.69,55.38,1.38,194.44,12.54,18.33,3.12,145.8,35.31,0,0,0,1.31,3.09,1.77,4.66,0,198.63,1.35,3,4.12,518.28,0,28.3,22.6,0,4.3,3.52,0,0,12.3,0.53,0,15.9,1.8,4.47,0.77,19.44,0.48
120,0,0,1.66,41.79,0,237.79,24.08,15.44,0,235.59,22.62,0,0,0,0,6.53,6.01,0,0,307.93,0,28.79,8.65,1075.61,0,11.08,8.03,0,19.92,1.07,0,0,15.72,0,0,21.95,5.67,0,0,56.45,0
