stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0
 10-12,0,34.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91,0,1.88,0,0,0,1.06,1.72,1.84,1.26,0
 24-34,0,0,0,0,0.94,0,0,0,0,0,2.89,0.7,0,0,1.38,0,0,24.77,6.05,5.19,0,0,0,0,0,5.64,19.79,0
 36-46,0,0,0,0,3.74,0,0,0,0,0,0,0,1.57,0,1.66,0,0,32.53,2.39,4.84,0,0,0,0,0,0.67,0.64,0
 48-58,0.54,0,0,0,6.99,0,0.64,0,0,0,3.23,0,0.41,0,2.88,0,0,11.5,0.6,13.74,0,0,0,0,0,1.41,0,0
 60-70,0,0,0,0,22.49,0.84,2.68,0,0,0,0,0,0,0,1.48,0,1.62,13.21,3.15,8.25,0,0,0,0,0,0.82,8.84,10.68
 72-82,0,0,0,0,45.47,0,9.17,0,0.79,0,0.66,0,3.72,0,2.76,0,0,34.92,3.48,24.64,0,0,0,0,0,0.64,6.68,0
 84-94,0.66,0,1.06,0,50.14,0,4.66,0,0,0,0,0,0.59,0,3.85,0.76,0,18.02,2.88,33.66,0,0,0,0,0,2.25,0,0
 96-106,0.95,0,0,0,82.81,0,8.36,1.11,0,0,1.85,0,2.4,0,4.58,0,0,14.62,1.44,33.51,0,0,0.96,0,0,5.41,1.03,0
108-118,0,0,0,0,86.1,0,13.3,0,0,0.43,0.97,0,2.45,2.34,1.74,0,0,22.51,1.47,18.14,0,2.29,0,0,0,0,0,0
120,0,0,0,0,70.45,0,25.94,0,0,0,0,0,8.68,0,2.03,0,0,42.31,0,47.65,0,0,0,0,0,4.72,0,0
