stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
 14-21,0,2,0,0,1.86,0,0,0,0,0,0,0,0,0,0,6.08,0,0,25.17,0,0,0.89,0,2.53,4.09,9.38,0,0
 24-34,0.7,6.05,0,0,0.65,0,0,0,0,2.27,0,0,0,0,0,3.85,0,1.43,34.54,0,0,0,5.29,0,0.82,7.1,0,0
 36-46,0,0,0,0,6.97,0,0.67,2.75,0,0,1.47,0,0,0,0,0,0,2.13,51.41,0,0,0,0.98,0,0,24.86,0,0
 48-58,0,0,0,0,19.68,0,0,1.81,0,0,0,0,0,0,0,2.12,0,0,52.71,0,0,0,0.57,0,0,7.55,0,4.97
 60-70,0,5.41,0,0,11.07,0,0,0,0,0,0,0,0,0,0,7.17,1.14,0.99,54.23,0,0.91,0,0,0,0,3.98,0,0
 72-82,0,0.72,0,0,15,0,8.97,1.71,0.71,0,0,0,0,0,0,5.93,0,0,33,0,0,0,0,0,0,0,0,1.13
 84-94,0,0,0,0,10.12,0,0.83,2.68,0,0,0,2.35,0.58,0,0,5.04,0,1.75,25.08,0.65,0,0,7.4,0,0,0,0,0
 96-106,0,0,0,0,3.07,0,3.72,2.97,0,0,0,0,0,0,1.08,9.17,0,0.72,11.5,0,0,0,2.37,0,0,0,0,0
108-118,0,0.72,0,0.42,8.03,0.47,0,0,0,0,0,0,0,0.59,0,10.14,0,0,20.26,0,0,0,3.65,0,0,0,0.52,0
120,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,0,0,0,0
