stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,0,145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.47,424.8,0,0,0,0,7.31,0,0,0,0,26.15,0,0,8.83,6.3,0,0,0
  7-9,6.13,9.72,14.59,0,20.17,0,3.27,0,0,0,0,171.69,22.05,0,68.13,0,0,0,0
 10-12,0,0,31.9,0,6.6,0,7.83,0,0,0,0,158.06,0,0,71.74,0,0,0,0
 14-21,0,0,0,0.89,0,0,0,0,0,1.69,0,4.73,0,0,0,0,2.31,1.16,0
 24-34,0,0,0,0,0,1.65,0,0,0,0,0,10.65,0,0,0,0,0,7.98,4.28
 36-46,0,0,0,0,0,0.84,0,1.26,0,0,0,18.53,0,0.87,0,1.31,0,2.6,0
 48-58,0,0,0,5.1,6.25,0,0,0,0,0,0,15.5,0,0,0,1,0,0,0
 60-70,0,0,0,4.94,3.17,0,0,0,0,2.41,0,5.93,0,0,0,0,0,1.34,2.52
 72-82,0,0,0,1.17,7.08,0.84,0,0,0,3.67,0,2.21,0,0,0,0,0,0,0
 84-94,0,0,0,0.72,0.99,0,0,0,0,1.07,0,7.68,0,0,0,0.6,0,0,0
 96-106,0,0,0,0.58,0,3.49,0,0,0.71,0.96,0,0,0,0,0,0,0,0,1.89
108-118,0,0,0,2.45,0,1.8,0,0,0.6,0,0.54,3.11,0,0.55,0,2.71,0,0,0
120,0,0,0,0,0,4.2,0,0,1.7,0,0,0,0,0,0,2.18,0,0,0
