stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.09,0,7.73,1.03,0,2.56,0,0,0,2.03,1.09,0,22.09,0,0,0,0,0,0,4.22,0,0,12.79,41.15,0.83,0,0,0,0,13.8,0,3.43,0,716.69,303.56,14.61,0,0,0,0,0
 24-34,0,0.81,0.67,50.18,3.39,0,65.48,2435.17,5.76,2.53,19.42,0,0,34.61,0.88,1.75,0,1.54,6.23,7.11,68.16,0,0,603.06,950.28,5.44,3.96,4.29,1,2.91,78.58,0,3.08,6.02,1554.66,960.42,123.79,0,0,78.74,0,4.59
 36-46,0,0,0.87,35.77,0,0,161.84,6469.41,11.04,0.65,52.41,0.57,0,6.32,1.92,3.1,0,0,21.04,44.62,100.86,0,0.92,605.85,1168.71,21.03,9.63,2.74,0,0,149.58,0,6.89,1.06,2170.9,47.29,233.34,0,0,13.07,0,6.49
 48-58,0,0.98,0,73.16,12.4,0,832.31,6336.77,8.33,24.21,218.13,8.44,0.75,4.49,18.94,21.76,6.02,0.41,15.77,35.01,278.95,2.02,2.77,551.81,2611.01,25.72,15.69,28.49,0,1.01,94.86,0,0,0,1685.33,0,425.87,0,0.85,40.24,0.72,106.98
 60-70,2.52,0,0,56.45,18.55,0,1060.3,4508.43,18.9,9.06,169.32,14.64,0,3.5,30.69,5.33,4.11,8.84,4.03,35.1,365.14,4.56,21.78,515,2079.02,15.66,3.17,18.15,1.62,2.69,127.48,0,5.3,7.39,1128.88,0,214.9,0.77,3.5,27.08,9.29,86.34
 72-82,0,0,0.75,40.01,35.23,0,852.99,1881.42,11.44,14.19,197.53,3.69,3.11,4.4,16.28,0.83,20.65,6.77,10.38,0.64,370.61,11.37,16.45,242.83,1468.55,11.39,12.7,6.05,0,0.77,55.35,0,0,0,410.71,0,180.24,0,18.52,33.45,19.78,124.32
 84-94,5.55,5.06,0,64.22,111.25,1.52,793.09,2469.77,9.34,10.31,138.63,18.37,0,4.28,22.39,3.82,14.37,7.15,18.11,19.23,356.99,6.08,31.92,228.87,1068.34,9.01,6.91,19.7,0,3.32,156.92,0,0,1.88,565.14,0,121.55,0.97,12.14,34.64,28.23,57.06
 96-106,0,7.14,0,82.18,200.8,0,887.12,2393.11,7.92,13.91,218.52,8.8,1.32,4.59,33.46,4.76,12.82,11.04,106.58,5.57,367.79,9.98,24.02,216.91,1114.6,5.35,21.72,11.62,21.32,9.2,180.68,3.39,0,0.7,456.84,0,47.14,3.68,21.59,50.96,37.26,54.86
108-118,0,0.71,0,57.42,59.4,9.81,496.74,1743.1,6.88,7.29,92.86,8.05,0,1.04,17.35,2.18,6.26,5.12,22.4,8.16,323.26,4.22,37.45,250.34,803.6,3.91,8,6.02,0,16.11,97.72,0.79,0,2.76,435.41,0,29.92,1.59,12.66,23.75,15.43,29.53
120,0,15.54,0,44.25,15.51,2.42,375.11,1020.89,4.13,10.69,89.44,2.5,0,0,15.75,10.64,0,0,23.63,0,280.59,1.65,69.64,235.57,944.74,0,2.92,10.31,0,22.12,34.67,0,0,0,124.62,0,44.46,10.82,28.14,12.66,12.1,41.28
