stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.11,407.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.29,369.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.21,0,0,34.01,0,0,0,65,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,486.59,22.85,0,0,169.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.97,0,0,0,46.23,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,492.77,20.71,0,0,192.52,0,0,0,16.55,0,0,3.51,0,0,0,0
 14-21,0,0,0,1.01,28.39,4.14,0,3.34,0,0,0,2,0,2.24,1.66,0,0,0,0,0,7.56,0,0,7.83,55.03,1.79,0,0,2.69,0,3.7,6.81,1.14,1.23,9.13,14.65,0,0,0,0
 24-34,0,0,0,0,10.58,1.77,0,16.73,0,2.15,0,6.35,0,0,0,0,0,0,0,0,15.15,0,0,7.34,183.73,1.37,1.04,2.35,0,0,10.28,0,0.7,0,3.88,26.66,0,18.64,0,0.76
 36-46,0,0,0,0,32.5,0,0,40.76,0,4.41,0,2.07,0,0,0,0.73,0,0,0,0,22.65,0,0,2.55,207.08,0.98,1.52,0,0,0,10.13,0,0.63,0,0,25.27,0,8.83,0,1.47
 48-58,0,0,0,0,16.94,0,0,49.34,0,2.86,0.44,6.19,0,2.08,1.63,1.79,0,0,0,0,32.38,0,0.42,6,163.93,0.52,0,0.67,0,0,9.41,0,0,0,0,25.23,0.64,4.77,0,1.74
 60-70,0,0,0,0,22.02,1.45,0,63.39,1.34,5.8,2.04,10.6,1.39,0,0.78,3.99,0,0,1.85,0,43.68,0,0.98,0.83,154.07,10.76,0.84,0.9,0,0,5.12,0,0,0,0,7.85,1.65,4.42,0,1.82
 72-82,0,0,0.87,0,4.18,0,0,35.73,0,1.68,1.98,18,3.89,0,0,1.11,0,0,1.58,0.64,40.3,1.09,1.73,3.62,75.68,0,1.59,0,0,0,0,0,0,0,0,1.37,0,5.11,0,9.31
 84-94,0,0,0,0,11.62,0.69,0,16.18,0,3.74,0,5.59,1.03,0,0,3.09,0.82,1.29,5.33,1.05,13.66,5.95,2.96,4.7,76.76,1.38,0.78,0,0,10.51,6.44,0,0,0,0,2.95,0,12.95,0.89,0
 96-106,0,0,0,0,6.28,0,0,17.28,1.45,1.65,0,8.36,3.47,0,0.88,0,1.76,0,0,0,16,0,3.36,1.2,28.86,0,0,0,0,4.28,10.13,0,0,0,0,0,0,9.32,0.58,6.14
108-118,0,0,0.62,0,15.71,0.68,0,40.47,0,5.02,0,3.32,4.83,0,0,3.45,0.67,1.03,2.07,2.63,23.94,0,3.31,0,44.13,0,1.98,0.49,0,0,7.18,0,0,0,0,0,0,3.21,1.57,0
120,0,0,0,0,31.8,0,1.89,45.46,0,2.13,0,18.69,2.99,0,0,0,9.08,0,21.33,0,29.87,0,0,8.66,112.22,0,12.05,0,0,0,6.96,0,0,0,0,8.83,0,12.89,0,0
