stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,4.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.91,53.45,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0,1.7,4.81,0,0,0.9,0,0.9,2.15,0.94,1.91,5.15,4.53,98.22,0,0
 24-34,0,2.06,11.84,0,2.65,0,0,1.01,1.35,2.17,10.13,2.17,0,0,0,0.98,0,0,56.51,0,1.12,0,0.83,0,0,0,0.67,0.59,5.95,421.25,0,0
 36-46,0,0,0,0,3.01,0,0,0,0,4.57,4.72,0,0,0,1.47,1.44,0,0,60.35,0.66,0,0,0,0,0,0,0.59,0,10.22,218.35,0,0
 48-58,0,0,2.7,0,11.34,0,0,1.71,0,6.53,2.76,0,0,0,0,3.43,0,0,36.71,0,1,0,6.61,0,0,0,0,0,6.75,141.05,0,0.85
 60-70,0,0.63,0,0,13.24,0,0,6.71,0,14.31,6.95,0.71,0,0,0,7.26,0,1.64,48.25,0,0.62,0,0,0,0,0,0,0,9.85,187.61,0,3.46
 72-82,0,0,1.07,0,9.73,0,0,1.89,0,15.76,9.68,0,0,0,0,2.86,0,0.68,45.36,3.67,0.79,0,0,0,0,0,0,0,0.91,274.25,0,0
 84-94,0,0,0.61,0,12.28,0,0,0,0,20.25,8.22,0,0,0,0,3.72,0,0,29.66,0,0,0,0,0,0,0,0,0,14.15,262.71,0,0
 96-106,0,2.25,9.26,0,19.56,0,0,0,0,10.3,15.67,0,0,0,0,8.32,0,0.8,46.74,0,0.6,0,0,0,0,1.21,0,0,5.12,311.46,0.65,0
108-118,0,0.6,2.73,2.29,24,1.34,0.94,0,1.1,9.64,19.13,0.51,0,1.21,0,5.92,0,0,16.28,0,0,0,0.96,0,0,0.58,0,0,0,320.4,0,0
120,0,0,1.16,0,0,0,0,3.56,0,15.42,44.57,0,4.93,0,0,8.73,2.91,0,38.65,0,0,0,1.33,0,0,0,0,0,0,375.99,0,0
