stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mucous,neural,notochord,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0.93,0
 24-34,0,1.28,0,1.12,0,0,0,0,20.16,0,2.11
 36-46,0,0,0,0,0,0,0,0,25.55,0,0
 48-58,0,0,0,0.71,0,0,0,0.5,60.01,0,0.94
 60-70,0,0,0,1.51,0,0.78,0,0,71.11,0,0
 72-82,0,0.54,0,7.68,7.14,0.85,0,0,103.22,0,4.87
 84-94,0,0.56,0.56,5.74,0,0.74,0,0,78.11,0,4.3
 96-106,0,0,0,15.97,0,0.94,0.57,0,100.02,0,2.95
108-118,0,0,0,5.32,0,0,6.86,0,169.68,0,0
120,2.55,0,1.68,0,38.24,0,0,0,482.86,0,2.78
