stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,12.42,0,0,0,6.69,0,0,0,0,0,0,0
 14-21,0,0,2.23,79.52,1.05,0,0,0,0,0,2.15,47.69,0.9,0,0,0,0,0,0,0,4.65,0.87,0,0,0,0,0,0,3.53,0,0,36.51
 24-34,0,1.34,0.7,47.31,2.66,0,1.71,1.66,0,0,2.82,133.49,1.68,0,0,0,0,0.84,0,0,34.12,0,0,1.04,0,0,5.77,0.91,0,5.19,0,74.52
 36-46,0,0,0,0.89,9.78,0,0,3.62,0,0,0,146.75,0.85,0,0,0,0,0,0,1.58,51.33,1.44,0,0,0,0,0,0.7,0,6.84,0,30.56
 48-58,0,0,0,7.11,19.74,0,0,0,0,0.94,0,152.82,0,0,0,0,4.16,5.43,0,0,44.58,0,0,0,0,0,0.7,0,0,9.3,0,20.86
 60-70,0,0,0,2.06,39.17,0,0,0,0,0,0,216.92,1.42,0,0,0,0,2.82,0,0,58.64,0,0,0,0,0.84,0,0,0,7.93,0,14.06
 72-82,0,0,3.35,14.04,18.04,2.33,1.82,3.65,2.71,0,0,261.41,0,0,0,0,0,2.36,1.17,0,50.27,0,0.67,0,0,0,0,0,0,15.01,0,22.84
 84-94,0,0,2.4,6.29,6.71,0,0,4.42,0,3.67,0,283.44,0,1.29,0,0,0,0.87,1.4,0,13.74,0,0,0,0,0,0.66,0,0,0,0,18.57
 96-106,0,0,6.74,22.84,33.32,0,0,0.91,2.18,0,0,412.08,0.86,0,0.79,1.98,0,6.87,0.59,0,60.8,0,0,0,0,0,0.71,0.6,0,5,0,44.3
108-118,0,0,4.2,5.71,20.19,0.64,0,5.63,6.99,0,0,376.12,0,0,0,0,0,2.55,0,0,35.03,0,0,0,0,0,2.38,0.55,0,3.69,0.83,26.16
120,0,0,5.26,21.14,5.44,0,4.21,0,0,0,0,487.65,0,0,0,0,0,0,0,0,63.75,2.47,0,0,0,0,0,0,0,0,0,34.11
