stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6,0,0,0,16.6,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.28,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.61,0,1.74,0,0,0,1.54,0.81,0.8,0.87,6.49,0,0,0,0,0
 24-34,0,0,0.67,2.8,0,0,5.06,0,0.75,0,0,0.71,0,0,0,0.63,0,0,0,0,5.56,0,0,2.29,67.84,0.8,3.82,0,0,0,7.67,1.71,0,0.72,21.09,0,0,1.62,0,3.2
 36-46,0,0.95,0,2.38,0,0,24.73,0,0.57,0.67,0.76,0,0,0,0,1.03,0,0.72,0,0,3.09,2.09,0,4.26,81.22,5.49,4.48,0,0,0,15.2,2.77,0,0,52.6,0,0,8.01,0,0
 48-58,0,0,0,1.89,0,0,73.94,4.34,0,0.49,7.26,0,0,0,0,0,0,0.96,0,1.51,14.69,0,1.18,2.61,111.5,1.14,4.68,1.06,0,0,9.3,0,2.11,0,19.91,0,0.37,4.43,0,0
 60-70,0,0,0,2.57,0,0,169.53,2.98,9.37,0.84,27.25,0,0,0,4.75,5.18,0,0,1.63,2.78,27.95,0,0,0,153.16,0.62,3.72,2.12,0,0,10.4,0,5.72,0,8.35,0,0,0,0,2.33
 72-82,0,0.5,0,1.89,33.74,0,239.79,0,6.68,1.39,11.82,0.53,0,1.28,0.61,0,4.63,0,0,0,44.11,0,0,4.24,184.98,2.6,7.81,3.55,0,0,6.06,0,2.54,0,29.83,0.81,0,4.24,0,0
 84-94,0,0,0,23.87,13.41,0,204.31,0.79,3.9,4.79,22.37,6.28,0,2.32,1.47,1.27,0,2.41,0,2.15,24.18,0,4.17,2.92,117.82,1.37,0.93,4.32,0,0,49.55,1.09,2.44,0,25.79,0,1.47,24.99,0.63,5.45
 96-106,0,0,0,10.84,13.39,0,208.86,0,0.81,14.06,30.33,8.37,1.06,0.72,0,6.94,0.67,1.87,1.8,0,65.38,7.03,0,1.71,178.62,2.67,3.45,7.61,0,0,52.4,1.39,0.57,0,7.44,0,1.05,12.69,0,1.91
108-118,0,1.82,0,8.16,19.06,1.64,183.86,0,0.43,0.66,20.09,13.22,0,0,3.99,1.29,4.32,1.93,3.33,0,65.7,5.14,2.95,11.58,149.09,4.07,4.37,11.86,0,0.86,15.95,1.97,1.69,0,22.55,1.01,0.96,1.66,1.54,0
120,0,0,0,3.69,2.68,0,112.08,7.8,4.88,1.26,28.03,9.35,0,3.83,0,8.22,0,7.8,1.47,0,55.59,0,2.08,1.68,264,2.24,45.35,6.39,0,0,12.34,1.02,0,0,3.71,0,0,17.09,18.94,2.78
