stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  5-6,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0
 10-12,0,0,3.81,0,0,0,0,0,0,0,0,0,10.02,0,0,0
 14-21,0,0,1.21,0,0,0,0,0,0,0,0,0,0.99,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0
 36-46,0,0,0,0,0.6,0,0,0,0,0,4.62,0,0,11.62,0,0
 48-58,0,0,0.68,0,0,1.1,0,0,0,0,1.49,0.39,0,0.42,0.39,0
 60-70,0,0,4.16,0,0,0,1.93,1.26,0,0,2.97,0,0,0,0,0
 72-82,0,0,0,0,0,0.72,0,0,0,0,2.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0
 96-106,0,0,6.75,0,0,0,0,0,0,0,7.54,0,0,1.35,0,0
108-118,0,1.64,0,0.59,0,0,0,0,1.06,0,0,0,0,0,0,0.87
120,0,1.56,0,0,0,0,0,0,0,1.65,17.61,0,0,2.14,0,0
