stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,1636.25,30705.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.14,0,0,0,0,0,0,0,0
  5-6,2344.81,30110.03,61.44,0,0,0,0,0,0,171.17,0,0,0,0,0,837.43,111.48,0,264.19,507.95,0,0,0,0,0,0,0,0
  7-9,358.72,476.62,540.57,0,0,1103.51,0,0,0,423.48,0,0,0,0,0,11413.08,589.61,0,3921.69,30.33,69.16,0,0,0,0,0,0,0
 10-12,3.8,127.69,275.29,0,15.67,478.36,0,0,0,47.57,0,0,0,0,0,3997.41,123.76,0,1524.46,4.24,44.17,7.93,213.07,0,11.64,9.56,0,0
 14-21,0,0,4.45,88.92,20.88,22.8,0,0.89,2.34,0,0.89,3.36,2.94,26.69,29.21,295.98,22.35,1.9,9.26,8.61,0,79.43,7.91,19.82,85.31,93.94,1.07,0
 24-34,0,0,0,5.05,0.81,4.74,0,2.36,0.73,0,0,0,3.11,3.8,5.73,61.52,0.65,0,0,10.28,0,0,0,0,1.66,12.03,0.62,2.07
 36-46,0,0,0,0,0,1.62,0,0,0,0,0,0,0,1.63,0,2.06,0,0,0,21.86,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.41,0.39,0,0,0,0,0,0,0.64,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,4.12,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,2.75,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0
