stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,106.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,54.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,59.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.48,0,0,0,51.69,0,3.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.86,0,0,0,0,0,180.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.3,6.28,0,0,389.53,0,0,0,10.2,4.8,0,22.45,0,0,0,0,0,0
 14-21,0,0,0,1.54,5.01,2.54,0,25.58,0,0,0,7.49,1,0,0,0,0,0,0,40.63,0,0,81.36,145.49,0,0,0.8,1.03,0,1.39,0,100.85,0,156.1,208.46,50.88,0,0,0,0,0
 24-34,0,0,0,1.66,2.05,0,0,7.11,0,1.83,9,9.46,0,0,0,0,0,0,0,147.42,0,0,126.87,528.19,0,0,1.04,0,0,1.77,0,0,0,86.73,71.31,109.26,0,0,12.47,0,0
 36-46,0,0,0,0,1.88,0,0,16.97,0,0,15.99,94.2,0.61,1.06,0,0,0,0,0,168.87,0,1.06,73.5,451,0,0,23.78,0,0,1.05,0,0,0,35,0,168.95,0,0,4.19,0,0
 48-58,0,1.29,0,0,2.97,0,0,40.46,0,0,10.56,151.01,3.51,5.82,0,0,0,0,0,324.03,0,0.96,52.69,258.02,0,2.69,2.35,0,0,3.73,0,0,0,6.24,0,153.25,0,0,0,0,4.6
 60-70,0,0,0,0,10.45,0.81,0,219.07,0,1.14,15.59,180.02,7.66,1.48,1.98,0,0,0.61,0,327.86,0,2.69,15.57,194.16,0,0,5.99,0.81,1.21,0,0,0,0.58,1.35,0,48.48,1.87,0,0,0,0
 72-82,0,0,0,0,18.77,6.3,0,496.65,0,0,5.08,158.81,1.51,2.63,0,0,0,0,0,369.5,0,0,36.19,171.06,0,8.42,5.81,0,0,0,1.65,0,2.57,0,0,11.7,2.67,3.83,1.02,6.24,0
 84-94,0,0,0,0,31.94,1.03,0,336.36,6.62,0.57,12.6,161.5,6.62,0,0,0,1.46,0,0,290.75,0,4.21,14.35,82.33,0,0,22.94,0,2.76,1.9,0,0,3.46,0,0,11.38,8.22,1.34,0,9.41,0
 96-106,0,0,0,0,8.89,4.81,2.47,352.89,0,1.33,4,121.18,2.03,3.39,0,0.74,0,0,0,239.56,3.23,3.23,14.25,101.44,0,3.51,14.04,0,6.68,0.65,0,0,0.72,0,0,8.7,17.39,0.66,0,2.36,0
108-118,0,0,1.09,0,22.92,0,15,252.99,0.98,0,5.6,135.16,10.62,7.19,0,3.02,0,0,0,277.38,0,0,3.16,112.82,0.46,0,12.85,0,0,1.47,0,0,0,0,0,1.26,19.99,0.81,0,2.32,0
120,0,0,1.43,0,15.93,0,0,167.09,5.69,0,2.12,289.64,35.66,9.58,0,0,0,0,2.51,393.24,3.31,13.64,27.53,217,0,0,23.45,0,0,3.15,0,0,0,0,0,22.72,18.74,0,12.47,4.2,0
