stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pgc,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.34,5.93,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0.62,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.62,0,0.46,2.25,0,0,0,0.56,2,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.7,0,3.42,3.87,0,0,0,0,0,0,0,0
 72-82,8.12,0,0,10.94,0,0,24.58,0,0.71,0,0,85.26,0,0,0,0,0,0,0,0
 84-94,6.68,0,0,1.25,0,0,3.8,0,0,0,0,89.39,0,0,0,0,0,0,0,0
 96-106,52.67,5.54,0.97,6.97,0,4.78,265.52,21.67,3.24,0.59,0,144.28,0,0.86,2.65,0,0,1.1,1.58,0.8
108-118,6.73,0.9,0,3.13,17.6,0.48,148.28,0,5.7,0,0,132.26,0,0,0,0,0,0,0,0
120,41.62,3.37,0,0,0,0,227.04,0,0,0,15.05,254.31,0,0,0,0,0,0,0,0
