stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.54,327.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0
  5-6,7.18,117.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.61,20.41,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.91,91.92,0,0,14.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.66,0.87,8.19,0,0,7.13,0,0,0,1.19,0,0,0,0,0,0,0,0,3.45,0,0,4.51,194.05,42.36,6.04,0,0,0,4.79,7.83,20.03,43.11,244.71,0,0,0,0,0
 24-34,0,0,1.23,0,16,0,0,33.61,3.67,0,0,2.25,0,0.76,0,1.36,0,0,2.43,4.23,20.15,0,0,8.64,967.55,1.55,4.21,0,0,0.67,0,40.68,21.42,54.99,387.98,0,0,8.58,0,0
 36-46,0,0,0,0,2.58,0,0,33.36,2.44,0,0.87,0,0,5.45,0,0,0,0,0,0,12,0,0,5.85,2221.63,0,5.43,0.72,0,9.17,0,18.96,14.58,11.14,509.4,0,0,0.91,0,1.44
 48-58,0,0,0,0,6.91,0.68,0,154.33,4.03,0.39,0.76,11.33,2.96,1.94,0,0,0,0.45,3.62,5.37,34.31,1.71,0,3.36,2549.1,0.67,2.33,0.38,0,3.47,0,5.93,40.17,0,469.91,0,0,0.43,0,6.67
 60-70,0,0,4.37,0,5.35,0,0,572.43,4.02,3.43,4.23,21.38,3.68,0,0,0,1.2,0,0,0,41.85,0,0,9.95,3762.51,1.73,0,3.26,0.81,3.71,0,2.55,10.02,0,476.18,0,0,0,0.98,3.24
 72-82,0,0,9.59,0,13.23,1.11,0,707.3,5.07,3.55,6.29,41.15,18.99,0.87,1.69,0,2.68,2.88,0.97,0.87,95.86,0.66,0.55,17.54,3386.2,0,0,7.18,0,6.33,0,0.57,6.2,0,282.89,3.65,0.49,6.32,0,36.02
 84-94,0,0,20.91,0,12.49,8.76,0,406.83,4.28,2.39,1.26,53.23,22.19,0.8,0,2.34,11.66,0,6.92,6.04,83.45,0,2.6,1.49,2251.15,0,4.09,0,0,0,0,3.78,3.34,0,190.12,0,3.04,0.97,1.59,4.33
 96-106,0,0,0.99,0,12.22,6.55,0.56,392.41,6.56,2.5,3.2,82.53,8.51,1.98,2.31,0,3.33,0,22.11,5.13,118.02,0,2.84,5.14,1664.63,0,5.64,0,0,0.65,0,4.08,4.66,0,70.51,0,0,0,2.5,0
108-118,0,0,1.03,0,7.64,1.91,1.5,435.52,9.75,0.59,0.59,71.56,11.35,0.8,0.64,1.01,0,0,10.6,0,110.3,0,2.23,5.67,2461.89,0.77,4.49,0.6,0,2.34,0,10.66,13.61,0,39.39,0,0,6.88,5.58,0.88
120,0,0,0,0,21.97,3.29,0,341.7,24.9,0,25.75,65.21,16.68,2.27,2.32,0,0,0,0,0,45.01,0,16.08,7.52,2675.63,0,0,0,0,2.85,0,7.44,3.02,0,83.18,0,0,6.49,0,2.59
