stage,gut,mesenchyme,mural.cell,muscle,neural,periderm,vasculature
 24-34,0,0.97,0,0,0.65,0,0
 36-46,0,1.42,0,0,0,0.8,0
 48-58,0,0,0.81,0.48,0,0,0.54
 60-70,0,0,0,0.9,0,0,0
 84-94,0,0,0,0,0,0,0.56
108-118,0.79,0,0,0,0,0,0
