stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,pronephros
  3-4,15.32,199.13,0,0,0,0,0,0,0,0
  5-6,0,333.89,0,0,0,0,37.21,7.03,19.66,0
  7-9,0,0,13.14,0,13.49,10.32,340.16,16.77,106.63,0
 10-12,0,30.76,28,4.44,44.71,11.66,419.29,14.92,149.08,3.38
