stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.4,952.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0
  5-6,0,405.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.79,11,0,0,10.38,0,3.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.17,28.24,0,0,11.16,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.07,38.15,0.88,0,0,0,0,0,1.3,0,1.5,0,0,0,0,0,0,0,0.95,8.54,53.78,1.54,1.2,0,0,8.87,1.28,0,2.51,2.21,0,0,0,0,0
 24-34,0,0,0.64,32.75,1.66,2.06,0,0.78,0,0,0,0,6.46,0,1.75,0,0,2.37,0,0,1.34,15.3,38.51,1.66,0.64,0,3.82,17.64,0,0,0.66,4.08,0,0,0.63,0,0
 36-46,0,0,0,24.59,4.86,13.4,0,0,0,0,4.33,0,0,0,0,0,0,12.83,0,0,0.73,9.93,38.34,0,3.5,0,0,40.44,0,0,0,3.21,0,0,0,0,0
 48-58,0,0,0,18.62,1.55,1.4,1.48,0,0,0.48,11.57,0.4,0.78,0,0,0,0.38,18.65,0.87,2.55,5.61,23.85,29.26,1.66,3.42,0,0,13.29,0,0,0,0,0,0.49,3.32,0,0
 60-70,0,0,0,15.21,0.96,8.62,0,0.78,0,2,8.76,0,0,0,0.63,0,0,92.33,0,5.61,1,6.26,19.86,0.84,0.94,0,0.84,43.61,0,0,0,0,2.51,0,2.84,0,6.71
 72-82,0,0,0.75,7.6,0.51,2.66,0,4.85,1.27,0.6,12.67,0,0,0,0.63,0,0,117.5,0,6.94,0,10.29,18.03,0.7,1.97,0,0,15.54,0,0,0,0.96,1.68,0.75,5.44,1.74,0
 84-94,6.16,0,0,11.17,0,1.82,0,1.61,1.25,0,24.57,2.44,3.52,1.25,2.96,0,0,150.42,0,10.25,1.94,4.45,21.29,2.6,5.95,0,4.94,40.18,0,0,0,0,1.37,1.8,29.98,11.32,0
 96-106,0,0,0,16.72,2.48,3.19,0,0,3.5,0,12.99,0.65,0,0,1.94,3.85,0,69.32,0,12.34,1.26,2.39,13.69,3.43,6.88,0,2.2,20.56,0,0,0,7,0,0,9.19,6.13,0
108-118,0,0,0,11.71,4.59,5,0,0,1.1,0,7.16,1.59,7.59,0.73,0.9,0,0,84.4,1.37,1.91,1.69,3.33,16.06,0.67,5.17,0,25.88,17.24,0,0.42,0,4.67,0.84,0,12.13,8.71,0
120,1.12,0,0,9.23,6.57,7.65,0,0,0,0,19.54,2.31,5.77,1.05,0,0,0,163.14,0,0,1.9,12.38,51.84,0,3.28,0,0,5.55,0,0,0,0,13.24,0,8.63,9.08,0
