stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.35,553.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,0,0,0,0,0,0,0
  5-6,19.73,533.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.62,0,0,0,0,288.67,0,0,0,0,0,0,0,0
  7-9,17.27,0,22.03,0,0,0,31.07,0,0,0,0,24.38,0,0,0,0,0,0,0,0,0,0,274.65,28.81,0,0,148.71,27.2,0,0,0,0,0,0,0,0
 10-12,0,10.05,52.67,0,0,0,37.96,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,235.7,0,0,0,128.75,0,0,16.92,6.77,0,0,0,0,0
 14-21,0,0,0,5.02,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,1.99,26.79,0,0,0.87,1.19,1.06,0.84,0,6.84,3.96,0,0,0,0
 24-34,0,0,0,2.45,0.76,0,6.78,0,0,2.42,0,0,1.45,0,0,0,0,0,3.98,0.61,0,1.78,71.56,0,1.01,0,0,6.52,0,0,1.25,12.18,0,0,0,0
 36-46,0,0,0,0,0,0,13.61,0,0,0.63,0,0,0,0,0,0,0,0,2.03,0,0,2.99,70.43,0,0,0,0,6.8,0,0,0,7.25,0,0,0,0
 48-58,0,0,0,2.14,0,0,19.65,0.49,0,5.92,0,0,0,0,0,0.41,0,0.51,7.46,0,3.12,0.75,45.49,0,1.11,0,0,3.99,0,0,0,10.54,0,0,0,0
 60-70,0,0,0,1.72,0,0,27.38,0,0,1.86,0,0,0,0,0,5.4,1.41,0,3.24,2.11,0,0,56.38,0,1.43,0,0,1.24,0,0,0,1.77,0,0,0,0
 72-82,0,0,0,0.63,0,0,36.3,0,0,2.5,0,0,0,0,0,0,0,0,7.69,0,0,1.68,42.51,0,0,0.9,0,4.27,0,0,0,2.21,0,0,0.83,0
 84-94,0,0,0,0.64,0,0,14.97,1.75,0,4.35,0.92,0,0,0,0,0,0,0,11.69,0,0,0,35.95,0,0,1.1,0,0,0,0,0,6.71,1.6,0,7.37,1.95
 96-106,0,0,0,1.98,0,0.56,5.45,0.66,0,2.81,0,0,0,1.95,0,0.82,2.18,0,7.96,0,0,1.76,26.79,0,0.73,1.1,0,2.17,0,0.67,0,0,0,1.26,2.47,0.58
108-118,0,0,0,3.31,0,0,13.36,0,0,3.88,0,0,0,1.6,2.1,0,0,0,5,0,0,0,25.06,0,0,0,0,0.81,0,0,0,0,0,0,0,0
120,0,0,0,3.04,0,0,21.46,1.05,15.23,23.09,0,0,0,4.66,0,0,0,0,0,0,0,0,29.28,0,0,3.15,0,0,0,0,0,14.14,0,0,2,0
