stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,32.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.46,0,0,0,13.81,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.75,5.32,0,0,25.85,0,0,0,0,0,0,0
 14-21,0,0,3.6,1.63,0.96,0,0,3.38,0,2.21,0,0,0,0,0,0,2.07,0,0,3.74,24.06,0,0,0,0,1.89,11.6,0,6.34,9.27,0,1.45
 24-34,0,0,2.44,0,2.46,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,5.84,32.28,0,1.22,0,0,1.42,0,1.52,0.7,12.52,0,0
 36-46,0,0,3.41,0,6.05,0,0,1.97,0,0,16.16,0.6,0,0,0,0,1.39,0,0,0.9,26.61,0,0,0.69,0,4.86,0,1.31,0,1.98,0,0
 48-58,0,0,0,0,4.9,0,0.64,0,0,0,4.44,0.46,3.97,0,0,0,1.33,0,0,0,33.29,0,0,0.54,0,0.95,0,0,0,12.14,0,0
 60-70,0,0,0,0,37.63,0,0,0,0,0,27.91,0.59,0,0,0,1.56,0.64,0,0,0,151.38,0,1.19,0,0,0,0,0,0,15.15,0,0
 72-82,0,0,0.65,0,47.46,0,0,9.61,0.63,0,55.33,0.68,0,0,0,0,2.95,2.42,0,0,88.37,0,0,0,0,0,0,0,0,21.76,1.18,0
 84-94,0,1.44,9.25,2.89,40.02,0,0,0.69,5.65,0,25.66,0,0,0,0,0,4.17,0,0.58,0,53.85,0,0,0,0,3.75,0,0,0,0,0,9.38
 96-106,0,0,18.64,4.62,55.21,0,0,0,2.08,0,35.63,1.44,0,2.27,1.49,0,2.02,0,0.59,0,63.53,0,1,0,0,2.29,0,0,0,0,0,0
108-118,0,0,10.02,0,12.26,0,0,2.26,2.25,0,72.4,0.54,1.33,0,3.28,0,0,0,0,0,36.37,0,0,0.87,0,4.87,0,0.97,0,0,1.01,0
120,0,0,38.92,0,29.82,2.77,0,0,29.35,0,133.41,0,0,1.15,0,0,11.99,0,0,0,24.63,0,0,0,0,2.75,0,0,0,5.78,1.3,0
