stage,epidermis,erythrocytes,eye,glial,mesenchyme,neural,spinal.cord
 24-34,0,0,0,0,0,2.43,0
 48-58,0,0,0,0,0,0.47,1.33
 60-70,0,0,0,0,0,1.21,0
 72-82,0,0,3.68,0,0.55,3.15,0.62
 84-94,0,0,4.32,0,1.88,1.57,2.91
 96-106,0,0,0,0,4.39,7.37,0
108-118,1.61,3.97,0,1.67,0.7,6.63,0
