stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,24.84,377.2,89.54,0,345.9,0,0,0,33.82,10.73,169.05,0,5.6,26.67,0,0,14.57,9.97,158.15,0,0,112.42,2315.47,72.36,5.79,26.54,71.11,0,91.19,1.31,136.31,19.81,5.23,153.47,774.58,0,0,13.23,0,5.01
 24-34,0.8,19.45,87.31,7.96,0,393.4,0.9,1.55,5.78,49.31,3.66,8.74,11.57,17.19,13.52,3.54,12.1,7.03,11,194.27,7,2.42,85.78,3246.26,22.36,13.51,34.33,0,0,122.52,0,0,8.42,0,17.94,613.35,0,0,90.42,0,12.21
 36-46,0.98,1.4,75.34,5.15,0,534.94,0,10.3,3.28,80.71,3.28,1.01,7.56,37.24,0.58,9.14,4.26,15.84,2.06,212.53,8.21,5.64,38.32,2553.45,10.48,19.12,17.89,0,0,191.29,0.73,0,13.23,0,0,520.45,0,0.85,53.99,0,3.62
 48-58,0,2.23,64.21,1.12,0,720.89,1.98,2.2,9.8,171.08,2.98,0,7.9,29.64,2.23,8.47,2.1,9.32,2.15,272.87,10.5,9.97,52.2,1990.57,6.22,9.47,10.69,0,0,63.32,0,0,7.19,0.73,0,353.83,0,0,78.93,0.5,9.81
 60-70,1.43,0,98.69,5.85,0,761.81,0,5.87,14.93,135.01,9.62,4.94,11.33,16.43,3.3,2.07,4.67,11.31,4.02,317.98,2.13,9.92,35.66,1384.49,2.97,3.69,30.72,0,5.05,61.55,0,0,11.33,0,0,204.48,3.13,7.14,32.14,5.28,12.82
 72-82,1.61,0,64.37,16.23,0.57,490.13,0,0,13.39,183.35,18.97,0.52,5.46,17.27,4.43,3.29,9.5,11.43,0,419.3,12.04,15.04,30.55,1404.67,2.07,2.69,25.9,0,2.93,70.19,0,0,1.73,0,0,116.08,2.61,10,64.54,7.73,8.58
 84-94,0.56,0,98.02,27.66,7.46,429.13,1.22,16.39,9.56,132.07,23.34,1.99,4.38,31.37,8.92,21.28,14.94,7.54,2.56,335.84,7.54,24.41,47.79,1053.29,1.99,6.83,21.37,3.85,8.52,149.01,1.4,0,3.95,0,0,119.46,3.87,8.07,66.03,4.29,10.32
 96-106,3.06,0,83,39.79,5.99,287.86,0.9,15.35,17.33,146.62,31.39,0,5.14,36.68,9.46,1.18,20.77,25.14,1.26,268.65,16.51,15.13,18.67,840.38,7.71,14.25,19.97,0,3.99,110.8,0,0,2.35,0,0,63.66,2.22,8.32,68.55,10.21,0
108-118,1.41,0.44,92.13,39.01,9.2,338.12,1.38,6.62,10.95,167.29,44.56,0,2.72,33.62,17.07,12.46,10.35,13.05,0,362.3,13.68,4.93,24.28,1119.23,7.73,6.84,20.22,0,9.8,83.06,0,0,6.59,0,0,53.79,2.18,4.15,42.53,9.84,3.12
120,1.22,0,128.04,20.54,0,424.57,0,11.41,12.64,294.65,56.2,0,3.15,41.4,7.96,3.57,3.03,14.61,0,324.21,25.91,58.76,8.69,1305.05,16.71,17.6,40.38,0,16.58,65.71,1.53,0,0,0,0,56.29,12.35,7.92,61.23,0,14.97
