stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.45,0,0,0,0,0,0,0,0,10.06,0,0,21.15,0,0,0,0,0,0,0
 10-12,0,0,0,4.68,0,0,0,0,0,0,0,0,6.98,9.08,0,3.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5.49,785.78,0,1.18,0,8.46,0,3.74,1.39,0,0
 24-34,0,0,0,1.4,0.81,0,0.97,0,0,2.27,0,0,38.24,398.01,0,0,0,0,0,5.1,1.47,1.83,0
 36-46,0,0,0,0.71,0,0,0,0,0,143.63,0,0,28.53,373.99,0,0,0,0,0,0,3.29,4.9,10.02
 48-58,0,0,0,3.19,0,0,0.78,0,4.8,137.64,1.62,0,43.67,120.91,0.63,0,0,0,0,0,4.96,0.45,0
 60-70,0,0.71,0,27.27,0,0,0,0,0,84.55,1.31,0,9.41,154.51,0,0,0,0,0,0,1.61,0,0
 72-82,0,0,0,28.97,0,0,0,0,0,31.45,1.63,0,16.11,3.83,0,0,0,0,0,0,1.23,1.59,0
 84-94,0,0,0,34.08,0,0,0,0,0,81.2,0,0,9.7,0,0,0,1.12,0,0,0,0,1.75,0
 96-106,0,0,0,22.41,0,3.22,0,0,1.28,41.33,3.03,0,12.87,14.67,1.23,0,0,0,0.7,0,0,0,0
108-118,0,0,0,18.51,0,0,0.67,0,0,37.29,0,0.65,12.13,91.77,0,0,0,0,1.23,0,0,0,0
120,0,0,14.93,10.81,0,0,1.61,1.97,0,11.38,0,0,34.35,0,0,0,0,0,0,0,0,0,0
