stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,590.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.42,0,0,0,0,0,0,0,4393.09,0,0,0,0,0,0,0,0,0,0,0,180.34,0,0,0,32.52,0,0,15.41,0,0,0,0,0
 14-21,3.54,0.82,0,49.08,13.38,10.25,0,0,8.61,0,9989.97,1.13,0,0.84,0,0,2.95,0,11.06,0,0,8.38,287.19,7.87,1.1,0.88,7.92,29.45,39.92,0.87,8.92,49.02,152.15,2.14,1.35
 24-34,0,0,0.61,21.27,7.2,52.33,0.74,0,17.31,1,7631.88,0,2.67,2.92,1.94,1.91,6.65,2.06,33.38,0,0,13.82,560.69,8.08,3.18,3.4,0,26.04,0,3.13,18.6,17.43,122.04,22.32,1.8
 36-46,0,0,0,2.44,1.99,24.09,0,0,2.24,0,3159.77,0,0,1.59,0,1.55,0.67,0,21.7,0,0,9.99,217.39,0,0,0,0,41.13,0,0,0,0,17.01,3.31,5.58
 48-58,0,0,0,1.03,0,9.19,0,0.86,1.39,0,2076.84,0,0,1.39,0,0,0,0,5.86,0.56,0.75,0.6,58.46,0,0,1.64,0,2.16,0,0,0,0,12.4,0,4.71
 60-70,0,0,0,0,0,2.93,0,0,0,0,347.07,0,0,0,0,0,0,0,0,0,0,0,24.89,0,0,0,0,2.23,0,0,0,0,1.93,0,0
 72-82,0,0,0,0,0,1.21,0,0,0,0,214.54,0,0,0,0,0,0,0,0.74,0,0,0,1.31,9.68,0,0,0,0.58,0,0,0,0,0,0,0
 84-94,0,0,0,1.22,0,0,0,0,0,0,158.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.07,0,0,0,0,143.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.57,0,0,0,0,0.54,5.48,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.48,0,0,0,0,0,0,0
