stage,axial,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.13,0,0,0,0,0,0,0
  7-9,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,15.74,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.31,0,0,0,0,0,0,0,1.31,0,0,10.16,0,0,0,0,1.59,0,0
 36-46,0,0,0,0,1.51,1.52,0,0.95,0,0,0,0.86,0.72,1.58,14.58,0,0,0,0,0,0,1.4
 48-58,0,0,0,2.84,5.35,2.22,0,0,0,0,0,3.07,0,2.38,4.05,0,0,0,2.74,0.72,0,0
 60-70,0,0,0,9.76,13.84,2.9,0,0,1.03,0,0,2.87,0,10.92,6.5,0.89,0,0,0,1.39,0,0
 72-82,0,0,0,23.67,3.04,0,0,0,0,0,0,6.74,0,0,10.3,0,0,0,0,0,0,0
 84-94,0,0,0,0.87,1.11,2.53,0,0,0,0,0,0,0,0.67,2.94,0,0,0.75,0.69,0,1.43,0
 96-106,0,0.76,0,18.13,8.44,3.76,0,0,2.15,0,0,8.41,0,0.56,12.61,0,0.65,5.9,0.64,0,0,0
108-118,0,0,0,8.61,3.57,0.7,0,0,0.62,0,0.56,4.43,0,3.36,3.05,0,0,0,1.61,0,0,2.13
120,0,0,3.66,4.68,2.72,6.92,0,0,0,7.56,0,0,0,2.15,4.04,0,0,0,0,0,0,0
