stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,8.83,0,0,0,0,0,0,0
  7-9,6.15,0,0,0,32.47,0,0,0,0,0,0,0,0,0,0,0,0,92.87,0,0,0,8.3,0,0,0,0,0,0,0,0
 10-12,22.51,0,0,0,62.4,0,0,0,0,6.08,0,0,0,0,0,0,0,421.47,13.51,0,0,223.46,0,0,0,6.28,0,5.09,0,0
 14-21,0,0.88,23.58,1.11,21.73,0,0,45.38,0,0,0,0,0,0,9.82,0,5.63,224.11,2.57,0,12.03,11.9,0,0,28.41,20.77,14.94,136.19,0,0
 24-34,0,0.7,2.02,0,23.82,0,1.02,66.04,0.85,0,0,0,0,8.05,8.17,0,11.98,117.56,0.75,1.3,5.85,0,0,0,0,12.24,1.36,84.42,0,0
 36-46,0,0,0,0,5.49,0,0,21.65,0,0,0.73,0,0,0,1.98,0.74,0,66.24,0,2.24,14.51,0,0,0,0,6.72,0,52.81,0,1.04
 48-58,0,0,3.55,0.42,3.52,0,0,23.13,0,0,0,0,0.55,3.35,0.79,0,0,50.13,4.08,0.44,2.69,0,0,0,0,2.56,0,53.32,0,0
 60-70,0,0,0.79,0,14.09,0,0,14.52,0,0,0,0,1.56,0,0.57,0,0,32.58,0,1.76,0,0,0,0,0,0.83,0,5.07,0,2.47
 72-82,0,0,0,0,19.01,0,0,14.47,0,0,0,0,1.2,0,0.5,0,0,27.7,0,5.88,7.78,0,0,0,0,0.53,0,6.54,0,0
 84-94,0,0,0.57,0,2.01,0,0,2.69,0,0,0,0,2.22,0,0,0,0,16.93,0,5.51,10.5,0,1.81,0,0,0,0,8.76,0,0
 96-106,0,0.64,0.66,0,6.83,0,0,7.02,0,0,0,0,8.43,0,3.25,0,0.7,21.29,0,3.46,14.37,0,0,0,0,2.32,0,1.87,0.83,0
108-118,0,0,0.98,0,10.47,0.98,0,6.34,0,0,0,1.03,8.28,0,0,0,0,16.55,0,5.3,12.18,0,0,0.79,0,3.5,0,3.96,0,0
120,0,0,3.41,0,0,0,0,3.73,0,0,0,0,12.14,3.16,3.08,0,0,9.28,13.99,3.8,13.65,0,0,0,0,5.92,0,1.17,0,0
