stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,58.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0,0
  5-6,15.47,58.93,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,69.88,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,25.89,0,0,15.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.56,0,0,33.4,44.45,5.74,0,0,0,0,0,0,0,0
 10-12,0,23.62,0,34.58,0,0,3.31,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,192.26,0,0,54.69,19.61,0,0,23.64,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,2.14,0,0,0.82,9.03,1.36,0,0,27.01,1.54,3.74,0.91,2.34,3.33,0,0,0,0
 24-34,0,0,0,0,0,0,0.63,0.8,0,0,0,0,0,0,0.64,0,0.78,0.61,0,0,0,0,1.04,29.29,0,1.38,0,25.06,0,0,0,0,3.89,0,0,0.64,0
 36-46,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,5.48,1.59,0,0,0.72,25.49,0,0,0,25.18,0,0,0,0,1.97,0,0,0,0
 48-58,0,0,0,0,0,0,4.36,0,0,0.68,0,1.19,0,0,0,0,0,0,0.5,0.41,0,0,0.38,11.24,0,0.44,0,58.52,0,0,0,0,1.24,0,0,0.41,0
 60-70,0,0,0,0,2.24,0.57,4.58,1.25,0,1.93,0,0,0,0,0,0,0,0,0,3.38,0,0,0,9.97,0,0,0,115.93,0,0,0,0,7.2,0,0,0,0
 72-82,0,0,0,0,4.43,0,6.3,0,0,3.85,0,0,1.15,0,0,0,0,0,0,1.16,0,0,6.14,3.39,0,0,0,141.72,0,0,0,0,0,0.88,0,0,0
 84-94,0,0,0,0,7.08,0,0,5.37,0,1.69,0,0,0,0.91,3.45,0,0,0,0,3.17,1.4,0,0,16.82,0,0.9,0,534.02,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.1,0,30.24,2.48,7.68,3.77,0,2.31,0,0,0,2.22,2.12,0,0,0,0,11.04,2.05,0,1.72,21.39,0,0,0,499.3,0,0,0,0,0,0.67,3.41,0,0
108-118,0,0,0,0,49.25,16.1,0,8.48,1.25,3.27,1.41,0,0,1.41,12.93,0.59,0,0,0,1.8,3.37,0,0,6.89,0,1.23,0,613.08,0,0,0,0,0,0.48,2.63,0,1.59
120,0,0,0,0,17.85,8.76,3.17,10.55,0,0,2.55,0,4.21,4.04,3.67,0,0,0,0,0,7.31,8.33,0,12.43,0,0,0,313.97,0,0,0,0,0,0,0,0,4.11
