stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,90.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.02,0,0,0,7.82,0,0,0,0,16.74,0,0,0,0,0,0,0
 14-21,0,0,15.12,44.79,0,0,0,0,0,42.68,23.11,0,0,0,0,0,0,0,0,0,0,0,0,228.46,0,0,0.94,0,0,0,0,2.64,0,0,127.93,0,0,0,0,0
 24-34,0,0,0,23.35,0,17.03,0,0,0,172.05,0,0,0,0,0,0,0,0,0,5.14,0,0,3.58,2226.8,0,0.79,2.29,0,0,5.37,0,0,0,1.16,694.97,0,0,3.86,0,0
 36-46,0,0,0,12.12,0,33.67,0,0,2.24,260.66,0,0,1.26,0,0,0,0,0,0,8.04,0,0,3.23,4243.38,0,0,0,0,7.92,4.23,0,0,0,0,1192.15,0,0,9.3,0,0
 48-58,0,0,0,7.68,0.75,195.91,0,0.39,5.8,331.17,0,16.6,0,1.24,0,0,0,6.91,1.97,34.98,0,2.18,13.25,5452.27,0,2.58,0,0,0,13.46,0,0,1.07,0,1406.7,0,0,0.46,0,6.31
 60-70,0,0,0.85,0,5.97,329.36,0,4.39,4.87,329.8,0,6.22,0,0,0,0,1.02,0,14.83,32.79,0,0.71,6.65,7725.76,0,1.51,0,0,0,14.37,0,0,2.57,1.01,1415.12,0,3.87,0.83,0,23.95
 72-82,0,0.95,0,44.91,13.55,889.16,0.79,7.09,13.21,313.57,0.7,3.69,2.09,8.55,0.72,9.76,2.35,7.48,20.11,73.44,0,5.04,10.52,6880.55,0,1.23,8.02,0,1.42,11.44,0,0,0,3.15,1061.66,4.02,0,10.79,3.83,14.31
 84-94,0,0,1.73,34.39,6.26,597.05,0.56,1.37,11.49,211.3,0.78,6.07,1.02,0.65,2.11,2.19,0,3.36,0,45.85,0,14.05,5.02,4514.73,0,1.1,1.82,0,2.56,18.82,1.4,0,0.8,10.23,804.86,0,2.32,0,2.54,0
 96-106,0,1.1,0,27.19,15.52,542.12,0,0.56,15.69,293.76,3.48,0,1.24,2.5,0,1.47,1.71,5.2,0,49.47,0.6,6.49,16.68,3467.49,1.27,3.11,0,0,2.43,16.34,0,0,0,0,317.7,0,7.28,11.17,12.02,0
108-118,0,0,3.61,20,2.13,486.82,0.56,6.55,2.92,256.01,0,0,0,1.29,1.4,2.12,0,1.32,0,29.5,1.25,28.8,4.59,5204.21,0,6.34,2.07,0,0,6.5,0,0,0,0,247.8,0,0.77,1.57,4.76,0.68
120,0,0,2.55,47.93,1.32,687.26,0,6.36,0,490.17,2.91,0,1.85,0,0,0,0,0,0,48.67,1.49,5.15,16.43,7517.06,12.42,2,0,0,0,9.81,0,0,1.13,0,187.46,0,13.21,19.04,0,0
