stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,12.09,116.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0
  5-6,0,88.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0
  7-9,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0,0,20.05,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16,30.21,0,0,26.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.22,1.36,0,0.96,0,0,0,1.19,0,0,0,0,0,0,0.97,2.26,5.74,0,0,0,0,0,0,6.24,2.04,0,0,0
 24-34,0,0,1.89,0,0.79,0,0,3.46,0,0,0,1.11,0,0,0,0,0,0,0,71.13,1.89,1.72,0,0,0,1.6,0,0,5.99,0,0,0
 36-46,0,0,0,0,0,0,0,13.27,0,0,0,0,0,0,0,0,0,0,0,204.01,0,0,0.91,0,0,0,0,0,6.11,0,0,0
 48-58,0,0,0,0,4.78,0,0,4.18,0,2.71,0,0,0.38,0,0,0.92,0.71,0,0,283.44,1.09,0,0,0,0,8.66,1.28,0,18.6,0,0,0
 60-70,0,0,0,0,0,0,0,10.94,0,3.13,0,0,0,0,0,0.76,0,0,0,328.03,0.68,0,0,0,0,7.9,0,0,17.11,0,0,0
 72-82,0,0,0.61,0,3.75,0,1.65,44.09,0,2.41,0.53,0,0,0,0,2.55,0,0,0,470.03,0,0,0,0,0,3.51,1.69,0,13.2,0,0,0
 84-94,0,0,0,0,11.95,2.55,0,29.78,0,10.23,0,0,0,0,0,1.55,0,0,1.54,296.21,0,0,0,0,0,3.36,0.61,0,27.41,0.9,0,0
 96-106,0,0,0,0,6.45,0,0,39.38,0,0.67,0,0,0,1.14,0,0,0,5.64,0.66,234.47,0,0,0,0,0.9,4.45,0,0,7.28,0,0,1.54
108-118,0,0,0,0,10.68,5.15,0.49,28.77,0.75,6.26,0.65,0,0,0,0,6.55,0,0,0,377.52,0,0,0,0,1.04,5.04,0.68,0,6.99,0,0.64,0.49
120,0,0,0,0,8.09,0,0,12.76,0,5.5,8.14,0,0,1.47,4.53,2.22,0,0,0,477.4,1.25,3,0,0,0,1.38,0,0,0,0,2.71,0
