stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,188.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.14,193.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,43.36,0,0,0,12.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,1.13,0,0,0,0,0,0.95,0,19.04,0,0,0,0,26.15,0.85,4.08,0,1.07,13.89,15.49,0,0,0,0,3.43,7.07,1.72,3.14,8.11,0,0,0,0,1.14
 24-34,0,0,0.66,0.61,0.62,0,0,2.5,0,0.74,0.92,0,3.84,0,0,0,0,23.36,0.66,10.14,0,1.35,37.84,2.4,1.48,0,0,0,0,38.53,0,1.88,5.42,0,0,10.22,0,2.29
 36-46,0,0,0,0,2.57,2.17,0,8.39,0,0.57,4.3,0,0,0,0,0,0,25.41,10.52,4.19,0,0.83,21.93,0,3.35,0,0,0,0,118.43,0,0,2.86,0,0,1.22,0,10.69
 48-58,0,0,0.42,0,0,0,0,13.8,0,2.92,17.18,1.18,0,0.42,0,0,1.24,31.98,0,5.93,0.37,1.81,46.16,0,0,0,0,0,0,111.18,0,0,12.06,0,0,0.41,0,22.5
 60-70,0,0,0,0,0,0,0,29.54,0,4.73,56.21,3.27,0,0,1.23,1.16,0,39.74,0,9.26,0,0,44.28,0,1.42,0,0,3.71,0,131.46,0,0,4.3,0,0,0,0,38.33
 72-82,0,0,3.93,0,0,0.65,2.52,21.98,0,3.57,60.89,9.49,0,0,0.67,0,1.06,28.19,0.49,15.96,1.14,1.41,28.32,0,0.49,1.66,0,0,0,164.7,0.74,0,2.38,0,0,1.46,0,16.59
 84-94,0,0,12.15,0,0,0,18.45,11.81,2.49,9.74,26.7,18.21,0,0,0,4.72,1.39,73.49,0,13.18,0,3.28,18.69,0,0.83,3.12,0,0,0,364.57,0,0,0,0,0,0,0.91,6.47
 96-106,0,0,6.18,0,9.38,4.14,25.48,27.46,0,12.15,47,21.87,0,0,0,0,0,134.14,0.68,38.85,0.78,5.79,54.06,0,0,4.06,0,4.05,0,315.4,0.7,0,2.32,0,1.93,0,1.38,5.74
108-118,0,0,5.84,1.69,5.52,0,62.56,23.47,0,3.56,50.57,22.66,0,0,0.53,1.91,1.61,181.5,1.87,30.31,0,2.14,62.62,0.98,0.53,3.99,0,2.58,0,320.55,1.46,0,1.92,0.54,0,0.52,0,9.89
120,0,0,1.22,4.41,15.36,0,8.2,11.4,0,3.57,64.69,25.59,0,0,0,0,2.63,157.92,6.9,17.86,0,0,92.97,0,0,14.41,0,0,0,195.35,0,0,0,0,0,0,0,0
