stage,axial,blastomeres,eye,fast.muscle,glial,gut,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,63.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.33,36.36,0,0,0,0,0,0,0,0,26.6,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,24.67,0,0,14.92,0,0,0,0,0
 14-21,0,0,0,0,1.67,0,0,0,0,0.81,8.8,0,0,0,0,1.23,0,0,0
 24-34,0,0,0,0,0,0,1.83,0,1.08,0,12.89,0,11.2,0,0,0,1.58,0,0
 36-46,0,0,1.08,0,0,0,20.69,0,0,0.6,14.99,0,6.74,0,0,0,7.03,0,0
 48-58,0,0,8.04,0,0,0,47.95,2.12,0.98,0,6.09,0.42,8.27,0,0.37,4.25,0,0,0
 60-70,0,0,0.96,0,0,0,105.28,7.08,1.02,0,8.41,0,25.14,0,2.33,0.65,0.98,0,0
 72-82,0,0,1.37,1.52,2.21,0,113.83,9.87,0.64,0,16.17,0,42.76,0,0,8.03,0,0,0
 84-94,0,0,0.7,0,9.41,0,185.21,5.76,2.86,0,9.92,0,53.86,0,0,0.59,0,0,8.08
 96-106,0,0,2.41,0,2.65,1.59,137.17,24.97,3.87,0,11.1,0,75,0,0,0,4.28,0,0
108-118,0,0,1.36,0,0,0,160.48,14.12,0,0,13.54,0,51.77,0,0,0.47,0,0,6.5
120,0,0,3.97,0,0,0,138.87,5.69,3.25,0,22.16,0,131.9,0,0,1.63,0,4.69,0
