stage,axial,blastomeres,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,0,14.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.94,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,3.32,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,14.2,3.57,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,9.89,0,0,0,0,1.43,0,0
 36-46,0,0,0.78,0,2.77,0,0,0,1.48,0,0.71,7.83,0,4.87,0,0,8.01,0,0
 48-58,0,0,4.05,0,6.57,0,0,0,0.54,0,0.93,22.17,0,0,0,0,6.28,0,0
 60-70,0,0,2.27,0,2.92,0,0,0,0,0,0,20.03,0,0,2.75,0,5.42,0,0
 72-82,0,0,8.56,0,1.67,0,0,0,0,0,0.55,8.37,0,0,0,0,3.97,1.34,0
 84-94,0,0,5.15,0,0,0,1.54,0,1.12,0,0,18.49,0,0,0,0,0.95,0,0
 96-106,0,0,6.45,1.11,0,0,0,0,3.29,0,0,7.09,0,0,2.09,0,5.32,0,1.44
108-118,0,0,7.6,0,0,0.71,0,0.64,0,1.89,0,8.67,0,0.54,0,0,0,0,0
120,0,0,5.87,0,0,0,0,0,0,0,0,35.84,0,0,9.43,0,0,0,0
