stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,75.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,106.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7,0,9.44,0,17.54,0,0,0,0,0,66.49,6.28,0,31.67,0,0,0,0
 10-12,0,0,5.88,0,3.4,0,0,0,0,0,111.88,7.73,0,42.7,0,8.97,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.86,2.24,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.09,1.59,0,0,0,1.33,0,0.73,0
 36-46,0,0,0,0.65,0,0,0,0,0,0.76,9.71,0,0,0,0,0,0,1.02
 48-58,0,0,0,0,0,0,0,0,0,0.68,5.9,0,0,0,0,0,0.98,0
 60-70,0,0,0,0,1.86,0.94,0,0,0,0,1.76,0,0,0,0,0,2.66,0
 72-82,0,0,0,0,0.65,0,2.12,0.73,0,1,2.91,0,0,0,0,0,0,1.18
 84-94,0,0,0,1.03,0,0,2.09,0,0,1.85,4.71,0,0.55,0,0,0,0,0
 96-106,0,0,0,0,0.94,0,1.16,0,0.56,0,1.8,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,5.1,4.56,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0
