stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.29,1435.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.04,327.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,40.97,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.9,0,0,12.07,0,0,0,48.86,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,279.11,0,0,0,40.18,49.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.13,0,0,0,14.11,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,250.09,18.67,0,0,126.01,10.4,6.79,0,9.52,0,5.96,0,0,0,0,0,0
 14-21,0,0,1.07,0,7.77,15.32,0,18.73,0,0,0,1.54,0,3.16,0,19.99,2.77,0,0,1.07,4.45,0,0,6.1,78.03,2.37,1.02,7.81,2.21,0,0,6.15,7.8,284.36,221.65,16.55,0,0,0,0,0
 24-34,0,0,1.28,1.28,5.05,1.51,0,13.27,8.76,0.67,0,1.71,1.35,0,1.45,31.81,8.73,1.89,0.95,0,5.78,0.61,0,25.95,154.29,1.41,29.16,18.21,0,2.06,0,0,14.58,54.54,66,14.22,0,0,1.92,0,0
 36-46,0,0,0,0,40.93,0,0,10.12,0.68,0,0,7.14,0.72,0,1.57,53.93,0,3.42,0,0,3.32,0,0,1.32,152.55,0.56,28.08,8.17,7.09,2.23,0,0,8.91,2.01,2.75,24.08,0,0,2.05,0,0
 48-58,0,0,0,0,2.91,0.73,0,17.35,1.74,0,0.45,11.91,4.17,0,0,99.22,0,4.29,3.67,0,7.13,0,0,9.9,159.9,0,24.13,17.2,0,0.79,0.65,0,7.21,1.45,0,13.32,0,0,0.56,0,0
 60-70,0,0,0,0,5.09,0,0,12.69,5.35,1.82,0.91,11.14,0,4.08,0,81.24,2.7,4.73,1.83,0,5.26,0,0,0.86,169.97,0,26.4,9.79,0,0.57,0,0,9.83,0.82,0,11.33,0,0,0,0,0
 72-82,0,0,3.48,0,2.37,0,0.76,24.37,2.9,0.66,0,41.9,3.35,0,0.66,72.33,0.61,15.82,0.72,0,27.31,1.54,1.11,0,281.28,0,42.09,31.45,0,0,0,0,0,0,0,8.87,7.84,0,1.77,0,1.68
 84-94,0,0,5.6,0,18.08,0,0.76,30.26,4.81,0.59,0.77,52.64,10.74,0.99,0,105.63,7.4,14.02,0,0,18.23,1.27,0,0.76,243.74,0,38.55,50.79,0,3.23,0,0,1.35,0,0,3.99,15.97,0.71,1.23,1.13,0
 96-106,0,0,1.37,0,15.39,3.86,3.61,44.24,0.62,0,0,63.18,8.25,0,0,166.16,3.32,24.37,0,0.6,37.58,1.35,0,4.45,295.46,2.25,49.45,52.14,0,3.46,0,0,0,0.86,0,4.02,37.06,0,3.26,0,0
108-118,0,0,3.3,0,25.19,1.64,13.72,31.96,0,0,0.53,76.7,14.19,0,0,172.15,5.1,17.32,2.58,0,27.74,1.66,0,3.83,306.99,0.5,38.13,52.02,0,2.28,0,0,3.07,2.87,0,5.11,32.11,0,1.59,2.34,0
120,0,0,3.64,0,31.75,0,4.06,19.12,3.14,0,0,48.85,11.73,0,0,237.59,0,14.74,0,0,26.98,1.15,3.2,7.56,365.61,5.73,58.29,56.13,0,15.44,0,1.12,6.12,1.22,0,15,7.55,0,10.94,0,4.74
