stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.94,85.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0
  5-6,0,100.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.21,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.36,0,0,0,11.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.49,9.18,0.91,0,0,0,0,0.89,0,0,0,15.82,0,0,0,0,4.93,0,0,1.72,35.14,0,0,0,0,0,35.17,0,0,0.81,23.39,0,0,0,0,0
 24-34,0,0,0,1.34,2.27,0,4.22,0,0,0,0,0,0,0,11.59,0,0,0,1.69,4.18,5.19,0,1.95,352.91,5.86,22.15,0,0,0,271.65,3.13,0,1.6,129.62,0,0,6.75,0,0
 36-46,0,0,0,0,0,0,25.97,0,0.62,0,1.24,0,0,0,0.6,0,0,0,5.41,9.82,3.95,0.86,3.63,958.34,0,20.22,0,0,0,242.79,0,0,0,256.69,0,0,3.2,0,0
 48-58,0,0,0,0,5.55,0,88.66,0.81,0,0,15.66,4.28,0.63,0.68,5.92,0,6.87,0,9.72,11.4,22.54,1.76,1.92,1639.7,0,13.71,0,0,0,65.88,0,1.92,0,271,0,0,1.67,0,1.28
 60-70,0,0,0,0,2.86,0,306.06,0,1.21,0,55.33,1.58,0,0,3.39,0,0,0,18.7,8.95,20.08,0.85,3.06,2338.36,0,10.33,5.24,0,0,49.66,0,1.01,0,284.58,0,0,4.78,0,4.3
 72-82,0,0,0,0,12.88,2.81,361.95,0,0.81,0,120.07,0,0,0.59,6.83,3.32,0,3.49,2.3,27.51,18.18,0,1.15,2322.04,0,20.84,5.06,0,0,11.38,0,0,0,172.56,1.21,0,2.32,0,0
 84-94,0,0,1.29,0,15.58,0,275.18,0,0.62,0.89,118.29,3.4,0.78,1.71,11.24,11.29,0.58,0,20.76,30.28,32.12,0,0.98,1476.64,0,9.89,6.61,0,0,50.01,0,0,0,107.16,0,1.91,1.22,2.23,0
 96-106,0,0,2.08,0,45.95,9.37,250.23,0,2.94,4.59,233.59,1.99,0,0.8,15.38,0,2.79,7.18,5.11,27.21,39.06,2.15,0,1558.37,0,34.74,14.38,0,0,58.59,0,0,0,91.35,1.63,0,4,0,0
108-118,0,0,0,0,50.75,0,276.73,0,1.23,0,230.03,1.05,1.27,4.68,23.76,0,3.56,6.49,20,21.81,26.56,0,2.71,1493.8,0,13.69,17.36,0,1.05,60.22,0,0,0,58.4,6.06,0,9.14,0,0
120,0,0,0,0,43.85,0,339.22,0,4.85,6.63,181.36,7.13,0,11.55,19.72,1.05,1.69,0,6.38,84.08,4.3,0,0,2717.94,0,21.48,24.49,0,0,52.31,0,0,0,136.7,14.24,0,0,0,0
