stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,193.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,690.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.17,200.21,59.12,0,0,0,2892.26,0,0,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,8832.34,10.07,0,0,282.94,0,3.63,0,0,0,0,0,0,0,0,0,0
 10-12,8.63,100.35,326.91,0,0,0,2221.01,0,0,0,0,0,40.21,0,0,0,0,0,5.32,0,0,0,0,0,11983.34,40.18,0,0,382.48,0,0,0,0,0,11.84,0,0,0,0,0,0
 14-21,0,0,0,328.31,5.99,0,160.31,0,14.96,0,3.93,10.73,0,0,2.77,0,0,0,0,0,97.79,0,0,35.79,13706.5,32.45,0,0,10.2,0,4.2,30.94,174.18,0.99,45.97,5616.92,0,0,1.35,0,0
 24-34,4.02,0,0,62.89,6.32,0,137.8,0.75,0.72,0.74,24.24,3.79,0,2.23,0,0.68,0,0.68,0.96,6.15,67.03,0,0,23.9,28369.76,9.71,10.25,1.45,0,0,14.73,0,1.41,13.1,7.21,5356.81,0,0,21.98,0,8.05
 36-46,0,0,0,20.47,9.95,0,145.88,10.08,2.46,1.16,694.4,0,0,1.72,1.56,1.59,2.15,0,0,9.04,37.53,0,0,8.55,30081.38,14.74,4.86,3.31,0,0,13.65,0,4.85,0,0,4418.44,0,0,11.14,0,21.71
 48-58,0,0,0,43.11,0,0,370.6,6.79,3.8,0,1173.48,0,0,0.77,0,0.39,10,5.89,0,9.46,45.79,1.71,7.4,13.04,14408.5,0.51,1.89,2,0,0,9.82,0,0.47,0,0,3165.45,0,0,5.44,0,17.5
 60-70,0,0,0,0.89,0,0,102.82,0,6.44,0,608.59,0,0,0,3.63,2.84,0,0,0,0,26.66,0,0,3.01,4433.13,0,0,0,0,1.08,3.07,0,0,0,0,788.83,0,0,0,0,22.43
 72-82,0,0,0,56.05,20.03,0,153,0,3.58,2.94,599.16,0,0,0,0,0,2.56,0,1.61,0,35.55,0,0,2.35,3081.26,0.52,1.58,0,0,0,0,0,0,0,0,295.68,0,0,0,11.46,14.4
 84-94,0,0,0,51.43,0,0,265.22,0,0,0,447.82,0,0,0,0,0,4.16,2.13,0,0,35.6,0,3.74,4.39,2631.16,0,0.61,2.08,0,0,6.43,0,0,1.34,0,279.76,0,0.64,0.55,0,0
 96-106,0,0,0,40.62,6.81,0,193.3,0,1.05,1.01,322.34,0.78,0,3.1,0.65,0.64,0,0.71,22.85,0,17.5,0,1.87,4.72,1783.36,0,0,4.32,0,0,0,0,0,0.6,0,105.4,0,0,0,1.13,8.2
108-118,0,0,0,71.2,0,0,103.24,0,0,0,515.39,0,0,0,0.8,0,1.09,0,0,0,20.77,0,0,15.06,2936.17,0,5.45,0.78,0,1.33,0,0,0,0.94,0,79.15,0.89,0,1.22,0,0
120,0,0,0,59.77,8.99,1.71,232.72,0,0,1.26,408.05,0,0,0,0,0,0,0,0,0,21.74,0,6.66,0,1888.09,7.1,0,0,0,0,2.76,0,1.14,0,0,103.72,0,0,6.33,0,0
