stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,17.79,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,17.39,0,0,0,13.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,23.79,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.47,0.9,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,22.33,0,0,0,0,0,2.88,1.46,3.63,7.68,0,0,2.02,0,0
 24-34,0,0,2.03,1.72,0.95,2.24,0,0,0,2.32,1.65,0,0,0.71,0,0,0,0,0,6.96,0,0,2.6,44.2,0,0,1.06,0,0.73,1.92,0,3.21,12.11,0,0,0.84,0,0
 36-46,0,0,0,0.66,0,7.45,0,0,0,5.05,1.58,0,0,7.57,0,0,0,0,0,6.52,0,0,0.64,36.34,0,0,0,0,0,1.42,0,0,11.96,0,0,1.28,0,0
 48-58,0,0,0,0.4,0,12.73,0,0,0,4.79,0,0,0,9.78,0,0,0.77,0,0,14.44,0,0.51,1.63,26.11,0,0,4.51,0,0,0,0,0,4.52,0,0,0,0,0
 60-70,0,0,0,2.66,0.97,11.51,0,3.14,0,4.15,4.97,0,0,16.2,0,0,0,0,0,8.45,0,1.04,0,20.42,0.75,1.2,0,0,5.38,0,0,0,0,0,0,3.13,0,0
 72-82,0,0.87,0,1.45,0,11.77,0,0,0,4.09,3.17,0,0,18.04,0,4.18,0.88,0,1.45,15.55,0,0,0.53,5.32,0,0,0.59,0,2.07,0,0,0,0,0,0.53,1.81,2.24,0
 84-94,0,0,1,6.41,2.34,0.65,0,0.57,0,0,10.33,0,0.88,38.53,0,0,0,0,0,9.37,0,0,0.84,22.42,0,0,2.82,0,3.31,0,0,0,1.01,0,0,5.26,0,0
 96-106,0,0,0,5.66,3.11,16.99,0.64,0,1.05,7.68,10.21,0,0,43.68,1.23,1.41,0.71,0,0,12.23,2.12,2.33,1.08,26.34,0,0,2.17,0,6.62,0,0,0,0,0,0,12.47,0.81,0
108-118,0,0,0,7.16,1.94,0.5,0,0,0,1.47,15.76,0,0,34.34,4.46,0.63,1.9,3,0,8.21,0,0,3,27,0,1.34,0.48,0,6.64,0,0,0,0,0.58,0,18.08,2.18,5.98
120,0,0,0,10.01,1,7.21,0,0,0,0,7.72,0,0,50.57,0,0,0,0,0,5.4,0,2.33,0,9.32,0,0,0,0,27.75,0,0,0,0,0,0,17.14,0,0
