stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  7-9,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0.97,1.06,0,0,0,5.36,90.02,104.91,0,0,0
 24-34,0,0,3.14,1.24,4.45,8.39,0,0,5.64,0,0,0,3.03,13,42.16,0,0,0,0,0,47.08,117.2,3.26,0,0
 36-46,0,0,0,0,2.45,26.85,0,1.9,1.45,0,0,10.13,0,11.83,13.69,0,7.09,0,3.14,0,2.46,7.44,0,0.75,0
 48-58,0,0,0,0,4.05,25.05,0.71,0.68,0,0.55,0,3.49,3.64,1.02,20.58,0,0,0,0.46,0,8.23,0,4.05,0,6.19
 60-70,0,0,0,0,18.1,15.63,0,0,0,0,0,0,0.85,0,11.51,0,0,0,0,0,7.81,0,1.33,0,0
 72-82,0,0.61,0,0,7.57,4.74,0.94,1.26,0,0,0,0,0.84,0.49,4.82,0,0,0,0,0,2.33,0,0,1.21,3.3
 84-94,0,0,1.34,0,4.31,2.91,0.94,1.16,0,0,0,0,3.4,1.62,9.44,0,0,4.36,7.28,0,0.57,0,0,0,0
 96-106,0,0,0,0,7.52,10.62,0,0,0,0,1.08,0,0.78,2.4,16.76,0,0,0,0,0,5.96,0,4.5,2.17,0
108-118,0,0,0,0,11.69,7.67,0,0,0,0,0,0,2.22,1.42,3.6,0,0,0,0,0,4.33,0,0,0,0
120,0,0,0,0,0,14.04,0,0,0,0,0,0,5.68,1.46,0,0,0,0,0,0,2.95,0,0,0,0
