stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,immune,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  5-6,8.73,51.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,0
 10-12,0,4.57,0,0,0,0,0,0,0,0,0,0,19.71,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.91,4.08,0,0,0,0.9,1.23,0,0
 24-34,0,0,0,0,2.95,0,0,0,0,0,0,0,16.23,0,0,0.81,0,0,0.84,0
 36-46,0,0,0,0,8.3,0,0,0,0,0.92,0,0,18.79,5.18,0,0,0,0,1.5,0
 48-58,0,0,0,0,10.23,0,5.4,0,0,0.52,0,0,11.83,0,0,0,0,0,0.58,0
 60-70,0,0,0,0,7.3,3.43,0,0,0,2.33,0,0,33.55,0,1.58,0,0,0,9.53,0
 72-82,0,0,0,0.99,4.97,0,0.84,0,0,0.76,0,0.87,19.8,0,0,0,0,0,3.64,0
 84-94,0,0,0,0,0,0,1.64,0,0,5.6,0,0.93,10.9,0,0,3.84,0,0,0,0
 96-106,0,0,0,0,3.49,0,0,0,0,0.92,0,0,5.26,0,0,0,0,0,0,0
108-118,0,0,1.03,0,0,0,0,0,2.08,0,0,0,8.16,0,0,0,0,0,0,1.16
120,0,0,0,0,0,0,6.67,2.27,0,11.45,1.63,0,24.21,0,0,0,0,0,0,0
