stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,28.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.12,0,0,0,0,0,0,0,0,0,0
  5-6,8.25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.66,0,0,0,0,0,0,0,0,0,210.25,0,0,0,0,0,0,0,0,0,0,0,25.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.06,0,19.17,0,0,0,0,0,0,0,108.9,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14.59,582.04,0,0,0,0,0,0,3.19,0,79.12,66.69,0,0,0,0,0,55.21,0,0,26.06,22.46,0,0,0,0,0.96,0,0,0,3.67,5.79,0,0,49.91,0,0
 24-34,0,0,0,0,11.73,306.67,0,3.73,0,0,0,1.53,0,0,76.76,182.92,0,8.2,0,0,0,42.49,0,0,4.91,44.31,10.05,1.01,0.95,0,0.82,0,0.85,0,0,45.91,0,0,215.73,0,5.14
 36-46,0,0,0,0,2.59,124.5,0,3.99,0,0,0,3.12,0,0,199.21,302.43,0,0,0,0,5.18,72.69,0,16.68,2.91,37.17,1.67,1.82,0,3.07,3.37,0,0.92,0,0,17.51,0,6.77,287.8,0,3.19
 48-58,0,0,0,0,0,206.04,0,13.59,0,2.4,3.53,5.8,0,0,151.77,240.14,0,0,0,3.34,2.86,139.7,0,7.25,0.41,89.47,0,0,0,2.41,0.59,0,2.45,0,0,13.69,0,1.85,379.35,0,5.58
 60-70,0,0,0,0,7.47,197.27,0,23.83,0,1.31,6.52,20,10.81,0,145.16,402.82,2.14,0.58,1.03,9.09,0,472.97,0,5.68,4.93,84.22,0,0,0,2.52,0,0,0,0,0,30.68,2.07,34.68,430.39,0,11.81
 72-82,0,0,0.71,1.72,20.73,425.02,0,73.63,2.64,0.68,3.25,138.56,109.51,1.97,222.73,257.66,0,2.9,0,15.19,1.1,1614.29,0.78,16.93,2.8,96.63,0,0,5.92,7.94,4.65,0,3.46,0,0,15.87,6.14,13.92,1010.18,2.18,10.66
 84-94,0,0,0,2.27,18.68,501.44,0,81.57,0,0,6.22,62.07,193.8,0,222.15,390.38,0.71,2.37,2.06,44.08,2.19,1471.1,4.76,36.16,5,72.01,0,0,0.85,8.46,7.46,1.4,26.09,0.6,0,12.94,26.76,22.32,806.81,6.01,12.28
 96-106,0,0,6.81,5.18,45.09,853.7,0,102.51,1.42,5.46,16.34,157.56,385.17,0,559.52,361.24,0.61,10.23,11.12,58.28,4.61,1683.95,9.02,66.64,14.48,182.24,4.61,0,6.89,48.92,28.4,0,19.23,0,0,25.68,22.38,30.36,1507.69,17.48,10.29
108-118,0.45,0,5.24,6.57,43.44,681.98,2.53,60.76,0.73,8.42,9.19,156.16,420.62,0,244.28,329.9,0,14.33,2.25,60.37,15.85,1668.32,3.83,62.73,4.46,123.75,2.13,0.48,6,61.36,12.57,0,19.43,0.49,0,18.66,70.06,36.58,1215.28,8.46,42.89
120,0,0,0,0,46.37,606.71,0,15.56,0,2.06,0,240.16,225.24,20.81,434.25,324.13,2.78,10.45,17.3,58.46,18.59,2169.7,12.11,39.58,3.9,54.72,6.07,1.45,2.51,39.74,16.87,0,0,0,0,20.27,14.91,39.45,1332.7,3.95,26.25
