stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,80.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119.94,0,0,0,0,0,0,0,0
  5-6,6.18,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.97,0,0,0,11.56,0,1903.15,0,0,0,0,0,0,0,0
  7-9,3.76,7.41,0,11.95,0,0,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.62,0,0,0,36.6,0,382.53,0,0,0,0,0,0,0,0
 10-12,0,0,0,41.04,0,0,0,0,0,0,0,0,55.23,0,0,0,0,0,0,0,0,0,0,0,262.87,5.45,0,0,35.25,0,121.05,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,1.32,44,5.41,2.62,0,0,0,2.73,0,4.09,0,0,12.54,0,0.92,0,0,4.19,1.14,0,0,31.95,0,2,2.82,0,0,427.82,3.63,4.1,12.9,0,0,0,0,0
 24-34,0,0,0,0.74,10.96,0,5.66,0,2.71,0,0.7,0,0.66,0,1.2,19.54,0.7,2.07,1.33,0,4.06,5.47,0,1.64,107.45,0,8.25,6.71,0,0,424.98,0,1.26,152.93,0,0,0,0,1.55
 36-46,0,0,0,0,1.19,0.7,13.81,1.41,4.42,1.26,6.7,0,7.5,0,0,16.95,0,1.38,5.5,0,10.5,11.5,0,2.2,112.63,0,7.09,1.92,0,0,875.43,0,0,307.04,0,0,0,0,0
 48-58,0,0,0,0,9.68,0.41,35.97,0,6.67,1.18,15.93,0,3.63,0.39,0,12.5,0.85,1.47,0,1.87,11.83,6.71,0,2.5,179.23,0.4,1.82,9.3,0,0,723.41,0,0,103.84,0,0,5.61,0,0
 60-70,0,0,1.48,0,12.38,0,35.68,0,9.18,0,17.65,0.62,0.89,0,0,23.48,0,2.35,0,0,8.55,8.51,1.41,0,101.7,0,2.18,5.19,0,0.63,726.9,0,0,40.96,1.61,0,1.15,0,0.99
 72-82,0,0,2.91,0,29.19,8.86,44.49,2.7,3.96,0.77,25.03,2.01,2.71,0.87,0,27.95,0.55,3.19,0,0,13.51,10.21,0,0.9,103.93,0,4.28,20.95,0,0.89,518.91,0,0,29.98,1.41,0,4.95,1.51,0
 84-94,0,0,1.23,0,67.04,11.09,28.45,0,43.97,0,11.94,10.98,0,0,5.24,58.07,3.08,3.9,1.22,0,12.98,27.25,0,0,96.81,0,7.15,16.06,0,0,1849.51,0,0,17.4,4.01,1.96,2.95,0,0
 96-106,0,0,1.05,0,120.16,0,15.1,0,19.09,2.32,20.51,19.89,0,0,8.62,82.14,1.05,7.03,0,0,8.3,14.93,1.29,3.22,68.88,7.15,6.5,8.1,0,0,1043.76,0,0,8.41,7.23,0,0.65,0,0
108-118,0,0,0.8,0,126.59,0,24.07,2.62,60.78,0,16.87,21.79,0,0.69,4.82,93.83,2.73,4.88,0.52,0,7,41.52,0,4.57,102.9,0,14.41,23.47,0,0,1379.47,0,0,4.89,15.68,0.77,0.49,0,1.56
120,0,0,0,0,125.82,0,51.69,0,64.64,0,30.57,6.72,0,0,1.49,61.39,0,13.74,0,0,17.51,16.34,8.33,3.94,90.69,0,22.51,21.67,0,0,782.93,0,0,28.68,19.83,0,0,0,0
