stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,42.65,165.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.69,0,0,0,0,0,0,0,0
  5-6,21.22,122.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,16.22,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.95,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,99.27,4.99,0,0,39.56,0,0,0,0,0,0,0,0,0
 10-12,0,7.52,0,14.56,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,399.66,31.34,0,0,151.57,0,0,21.32,0,0,9.81,0,0,0
 14-21,0,0,0,3.07,22.36,4.63,0,1.94,0,0,0,173.33,1.08,0,0,0,1.88,0,14.85,1.96,260.24,3.32,8.93,27.62,10.64,0,12.07,148.77,0,4.79,525.64,0,0,0
 24-34,0,0,0.65,1.2,2.07,0.91,0,2.75,0,0,1.24,141.19,0,0,0,1.91,0.66,0,13.13,1.66,200.41,3.07,64.75,8.54,0,0,0,44.01,0.65,6.62,275.69,0,6.09,0
 36-46,0,0,0,0,9.31,0,0,4.96,3.67,0,3.91,66.75,1.51,0,0,1.66,0.83,0,9.66,4.08,244.47,0.56,69.23,3.44,0,0.64,0,14.6,0,0,153.75,0,1.28,0
 48-58,0,0,0,0,1.69,0,0,20.58,0,0.41,0,63.76,0,0,0,0.41,0,1.72,15.6,6,217.86,0,40.02,8.46,0,0.49,0,5.32,0,0,127.81,0,0,0
 60-70,0,0,0,0,1.56,0,0,36.9,2.96,0,0,56.31,0.63,0,0,3.49,0,0,4.77,1.54,209.43,0,60.21,0,0,0.66,0,2.03,0,0,42.63,0,0,0
 72-82,0,0,6.15,0,0,0,0,33.71,3.19,0,3.66,57.91,3.18,1.23,0,2.96,0,5.42,9.87,0,138.01,0,68.79,2.95,0,0,0,1.85,0,0,26.39,1.84,0,0
 84-94,0,0,2.65,2.02,0.93,0.74,10.69,39.25,10.49,0,0.93,49.87,1.82,0,0,4.67,0,0,14.23,7.25,163.84,0.62,69.35,10.35,0,5.33,0,5.51,0,0,26.11,0,3.11,0.68
 96-106,0,0,1.78,1.33,4.58,0,0,29.75,8.38,0,0,55.21,0.69,0,1.6,8.29,0,0,28.34,6.45,114.04,0,90.97,10.07,0,0.97,0,3.49,0,0,25.51,0,1.29,0.68
108-118,0,0,0.52,2.37,4.21,0,0,12.77,10.01,0,1.08,50.53,0.43,0.68,5.78,0.79,0,0,6.08,2.74,164.77,0,71.01,16.22,0,0,0,2.62,0,0,16.23,0,9,0
120,0,0,0,0,0,0,0,9.66,2.85,0,0,34.83,0,0,0,0,0,0,19.04,0,126.17,0,52.79,5.72,0,0,0,1.87,0,0,9.38,0,0,0
