stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,19.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,173.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.52,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,43.39,0,7.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.73,0,0,0,0,0,0.61,11.18,0,1.57,0,0
 36-46,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.41,0,0,0,0,0,0,22.23,0,0,0,0
 48-58,0,0,0,1.3,0,155.16,0,0,0,0,0,0,0,0,0,0,0,0,6.87,45.01,0,0,0,0,0,0,19.61,0,0,0,0
 60-70,0,0,0,0,0,712.53,0,0,0,4.01,0,0,0,0,0,4.81,0,0.71,0,79.55,0,0,0,3.19,6.41,0,30.47,0,0,0,0
 72-82,0,0,0,2.57,0,1180.88,0,0,5.63,13.06,0,0,0,0,0,2.97,0,0,3.83,168.85,0,0,0,1.08,0,0,26.87,0,0,0,0
 84-94,0,0,0,16.2,0,725.46,0,0,0,19.03,0,0,0,0,0,2.75,0,0,0,163.64,0,0,0,0.97,0,0,11.05,0,0.78,1.16,0
 96-106,0,0,0,12.21,1.05,618.8,0,0,0,31.2,0,0.96,0.75,1.89,0,5.17,0,0,0,183.11,0,0,0,1.09,0,0,16.03,0,0,0,6.97
108-118,0,0,0,2.7,0,403.2,0,0,0,21.36,0,0,0,0.48,0,10.02,1.14,1.56,0,115.56,0.66,0,5.33,0,0,0.55,16.69,1.17,0,0,0
120,0,0,0,8.8,0,274.25,7.22,1.88,0,53.71,0,0,0,0,18.38,14.46,0,0,2.92,314.07,0,0,0,1.88,0,0,61.58,0,0,0,0
