stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,18.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.22,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0
 10-12,0,0,4.09,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,6.55,0,0,0,7.14,0,0,0,0,0,0
 14-21,0,0,0.83,13.58,1.71,0,3.33,0,0,0.82,0,0,1.92,0,0,0,0,6.06,0,0,3.06,52.37,1.91,0,2.01,0,0,4.3,5.71,2.49,0,8.74,7.56,0,0,0
 24-34,0,0,0,2.59,0.67,0,5.36,0,0,0,0,0,0,0,0,0,0,5.96,0,0,0.89,46.75,0,2.3,5.45,0,0,3.41,0,0.63,0,0,13.31,0,0,0
 36-46,0,0,0,2.33,0,0,11.55,0,0.96,6.17,0,0,1.45,0,7.18,0.7,0,9.93,0,0.6,3.16,264.21,2.07,0,0.67,0,0,1.75,0,0,0,0,38.28,0,0,0
 48-58,0,0,0,0.51,0,0,34.4,0,0.78,11.96,0,0,0.51,0,0,0.48,0.74,7.41,0,0,1.23,185.78,0,0.89,0.42,0,0,4.19,0,0,0.4,0,21.77,0,0,1.36
 60-70,0,0.89,0,1.73,0,0,55.49,3.02,2.39,19.1,0,0.66,0,0,0,0,0,21.94,2.07,0.63,0.56,505.38,0,1.56,1.67,0,0,0.57,0,1.72,0,0,59.29,0,0,0
 72-82,0,0.69,0,2.71,0,0,8.91,0,0,4.54,0,0,0.68,0,0,0,0,0.78,0,1.13,1.21,33.81,0,1.91,0,0,0,0.6,0,0,0,0,3.19,0,0,0
 84-94,0,0,0,1.38,0,0,16.85,0,1.88,0,0,0,0,0,0,0,0,4.2,0,0,1.26,45.09,2.79,0,4.33,0,0,5.59,0,0,0,0,0,1.5,0,1.64
 96-106,0,0.89,0,0.65,6.07,0,23.77,0,0,4.41,0.7,0,0.62,2,0,0,0.93,19.33,0,0,0.81,41.16,0.58,3.68,0,0,1.51,5.52,0,0,0,0,0,0,0,0.77
108-118,0,1.16,0,0.42,0,4.88,53.04,1.63,2.76,11.8,3.64,0,0,0.94,2.02,0,1.11,13.6,5.2,1.48,0,112.66,1.14,0,5.16,0,0,9.41,0,0.62,0,0,1.94,0,0.67,0
120,0,0,0,0,5.19,0,32.46,0,0,0,1.2,0,0,0,0,0,0,12.77,0,0,0,52.7,0,0,4.2,0,0,4.68,0,0,0,0,0,0,0,0
