stage,blastomeres,endoderm,eye,neural,notochord,paraxial.mesoderm,pronephros
  3-4,74.42,0,0,0,0,0,0
  5-6,95.13,0,0,0,0,0,0
  7-9,10.77,3.67,33.58,191.76,0,52.66,0
 10-12,0,5.62,7.99,102.2,12.5,27.05,8.24
 72-82,0,0,0.95,0,0,0,0
