stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,591.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.28,0,0,0,0,0,0,0,0,0
  5-6,51.66,443.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.92,0,0,0,12.44,21.2,0,0,0,0,0,0,0,0,0
  7-9,17.5,18.1,0,5.02,0,0,67.37,0,0,0,0,0,35.17,0,0,0,0,0,0,0,0,0,0,604.64,22.87,0,0,116.28,3.89,13.37,0,0,0,0,0,0,0,0
 10-12,0,7.51,0,16.08,0,0,37.94,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,532.71,6.19,0,0,185.48,0,21.75,0,41.71,0,0,0,0,0,0
 14-21,0,0,0,2.18,16.27,5.63,11.18,0,0,0,7.06,0,0,0,0,1.33,0,0,0,10.5,0,0,8.05,218.23,3.32,3.84,0.92,15.22,3.16,1.53,17.88,1.1,9.63,57.99,0,0,0,0
 24-34,0,0,0,1.12,20.92,7.68,257.48,0,0,0.72,15.13,0,0,0,1.74,0.62,0,2.22,1.95,136.9,0,1.66,27.09,1514,1.77,9.71,13.02,0,17.88,0,0,0,3.43,280.54,0,11.75,0,1.52
 36-46,0,0,0,0,71.48,13.36,400.38,1.84,12.86,0,50.7,5.04,0,0,0,0,12.13,0,10.04,112.61,0,1.24,13.46,1195.83,2.75,2.21,6.07,0,51.47,0,0,0,0,130.15,0,6.52,0,0
 48-58,0,0,0,0,63.09,12.52,714.87,0,1.13,0,28.91,17.41,0,0,0,0,1.9,2.67,2.28,81.32,4.06,2.99,26.89,1006.23,0,5.95,24.38,0,7.22,0,0,0,0,61.13,0,12.73,0,0
 60-70,0,0,0,0,70.76,9.55,457.11,0,7.35,0,64.3,12.89,0,0,0,0,0,5.34,7.55,217.95,1.41,18.45,18.09,578.54,0,0,6.45,0,8.9,0,0,0,0,12.98,0,14.41,1.54,0
 72-82,0,0,0,3.31,15.05,1.23,117.9,0,0,0,7.09,4.89,0,0,0,2.21,0,0.68,0,75.83,0,0.85,4.35,142.96,0,1.29,0.82,0,2.35,0,0,1.87,0,0.7,0,4.37,0,0
 84-94,0,0,0,0,4.67,0.57,66.42,0,0,0,27.85,1.34,0,0,0.83,1.2,0,0,3.86,47.3,0.92,1.93,2.29,51.22,0,0,0,0,1.32,0,0,0,0,0.58,1.73,4.97,1.07,0
 96-106,0,0,1.41,0,2.39,0,18.88,0,0,0,2.13,0,0,0.58,0.58,0,0,0,0,4.17,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,1.17,0,0.82,0
108-118,0,0,0,0,0.95,0.51,30.36,0,0,0,3.08,0,0,0,1.4,0,0,0.6,0,4.33,0,0,2.07,68.16,0,0,1.6,0,0,0,0,0,0,0,0.51,5.74,0,0
120,0,0,0,0,9.69,4.46,164.1,0,0,4.44,38.71,0,0,0,4.55,0,0,0,3.99,46.72,0,0,16.21,283.01,2.45,0,3.28,0,0,0,0,0,0,4.06,0,5.44,0,0
