stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle
  3-4,0,109.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.23,23.31,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,26.63,0,0,8.36,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.89,0,0,0,1.86,0,0
 24-34,0,0,0,0,0.84,1.11,0,0,0,0.93,0,0.6,10.37,0,0.73,0,0,0,2.02,0
 36-46,0,0,0,6.08,0,8.73,0.95,0,0,5.25,0,1.56,115.99,0,0,0,0,0,10.31,0
 48-58,0,0,0,13.74,0,16.49,1.98,0,0,5.88,0,0,119.23,0,0,0,0,0,35.86,0.72
 60-70,0,0,2.04,10.28,0,3.06,0,0,0,3.66,3.02,0,28.06,0,0,0,0,0,17.44,0
 72-82,0,0,0,4.69,0,0,0,0,1.35,3,0,0,16.97,0,0,0,0,0,0.8,0
 84-94,0,0,0,6.75,0,0,0,0,0,7.81,0.83,0,27.16,0,0,0,0,0,0,0
 96-106,0,0,0,0.62,0,0,0,0,0,4.6,0,0,12.79,0,0,0,0,0,0,1.22
108-118,0,0,1.42,2.57,0,1.83,0,0,0,2.72,0,0,9.83,0,0,0,0.65,0,0,0.87
120,0,0,0,14.69,0,6.38,0,0,0,5.03,0,0,9.84,0,0,0,0,0,0,0
