stage,blastomeres,endoderm,erythrocytes,eye,fast.muscle,glial,iridophores,melanocytes,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  3-4,28.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.87,11.11,0
 10-12,0,13.53,7.97,0,0,0,0,0,0,25.94,4.91,0
 14-21,0,0,0,0,0,0,0,0,0,0.86,0,0
 24-34,0,0,0,1.54,0,0,0,0,2.86,1.46,0,2.57
 36-46,0,0,0,0.92,0,0,0,0,0,0,0,0
 48-58,0,0,0,6.02,0,3.63,6.99,0,0,15.58,0,0.79
 60-70,0,0,0,0,0,0,1.14,0,0,13.33,0,0
 72-82,0,0,0,0,0,0,3.43,0,1.26,3.01,0,0
 84-94,0,0,0.78,0,0,0.77,0,0,0,0,0,0
108-118,0,0,0,0.63,0.9,0,0,0.91,0,1.96,0,0
120,0,0,0,4.13,0,0,0,0,2.84,0,0,0
