stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,108.67,2623.14,0,0,0,0,0,0,0,0,0,0,0,77.06,0,0
  5-6,89.52,1838.07,0,0,0,0,0,0,0,28.18,0,0,9.21,25.79,0,0
  7-9,0,19.33,0,13.33,0,27.17,0,6.64,0,156.69,7.06,0,43.99,0,10.61,0
 10-12,0,0,0,0,0,0,0,0,0,22.31,0,0,16.29,0,0,0
 14-21,0,0,0,0,1.19,0,0,0,0.92,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.48,0,0,0,2.88,1.53,0,0,0,0,0,0.61
 48-58,0,0,0,0,0,0.4,0,0,0.78,0.82,0,0.5,0,3.5,0,0
 72-82,0,0,0.93,0,0,0,0,0,0,1.9,0,0.74,0,0,0,0
 84-94,0,0,0,0,0,0.71,1.69,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,6.96,0.48,0,0,4.3,0,0,0,0,0,0
120,0,0,0,0,0,5.17,1.91,0,0,7.39,0,0,0,0,0,0
