stage,blastomeres,endoderm,epidermis,eye,mesenchyme,neural,olfactory,otic,spinal_cord
  5-6,16.06,0,0,0,0,0,0,0,0
  7-9,0,0,0,17.56,0,12.15,0,0,0
 10-12,0,11.94,0,0,0,16.56,0,0,0
 14-21,0,0,0,0,1.06,1.49,0,0,0
 24-34,0,0,0.61,0,0,0,0,0,0.72
 36-46,0,0,0,0,0,1.11,0,0,0
 84-94,0,0,0,0,0,0,0,1.31,0
 96-106,0,0,0,0,0,0,0.76,0,0
108-118,0,0,0,0,0,0,0.54,0,0
