stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,heart,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,spinal.cord,vasculature,xanthophores
  5-6,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,12.1,10.37,0,0.77,1.11,0,0,1.15,0
 36-46,0,0,0,0.66,0,0.87,0,0,0,35.55,3.09,0.56,1.14,0.57,0,0,0
 48-58,0,0,0,0.88,0.64,0,0.9,0,0,38.81,1.7,0,4.29,0,3.71,0,0.93
 60-70,0,0,0,3.84,0,8.45,0,0,0,39.95,0,0,6.67,0,4.9,0,0
 72-82,0,0,0,0.65,0.71,17.59,0,0,0,14.57,1.26,0,2.46,0,0,1.91,0
 84-94,0,0,0,3.18,0,6.32,0,0,0,79.72,1.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.71,0,0,0,42.88,0.78,0,2.33,0,0,0,0
108-118,0,0,1.96,8.79,0,22.34,0,0.41,0,52.9,1.32,0,2.79,0,0,0,0
120,0,3.07,0,0,0,45.63,0,0,0,23.9,0,0,0,0,0,0,0
